N,p_offroad
5,2.507855461656485e-07
10,2.507991375384252e-07
15,2.507991375384252e-07
20,2.507991375384252e-07
25,2.507991375384252e-07
30,2.507991375384252e-07
35,2.507991375384252e-07
40,2.507991375384252e-07
45,2.507991375384252e-07
50,2.507991375384252e-07
