N,p_offroad
5,1.6026781250000003e-06
10,5.8270089142399824e-06
15,1.0052998647999493e-05
20,1.4278970664320576e-05
25,1.850492482163571e-05
30,2.2730861120007295e-05
35,2.6956779559510803e-05
40,3.118268014022171e-05
45,3.540856286221549e-05
50,3.9634427725567604e-05
