cte_true,mc_mean,mc_std
3.87314,4.62669,0.81302
3.98167,5.14930,1.02640
3.99346,4.73100,0.62187
4.02859,3.45674,0.60016
3.99304,3.54934,0.85944
3.88784,4.11627,0.68290
3.70272,3.65750,0.74631
3.52024,3.63902,0.77693
3.27068,3.05525,0.53270
2.95466,2.52936,0.54606
2.56451,2.13303,0.32052
2.18021,1.84628,0.30873
1.73778,0.91105,0.18535
1.25721,0.95189,0.33318
0.68611,0.18995,0.14630
0.15861,-0.22051,0.11982
-0.39505,-0.55326,0.14461
-0.95949,-0.83775,0.28468
-1.52166,-1.85697,0.28008
-2.05915,-2.58274,0.34116
-2.58513,-2.99975,0.39817
-2.98793,-3.57481,0.47596
-3.33513,-3.95491,0.90579
-3.62258,-4.20019,0.60153
-3.84011,-4.27104,0.89096
-3.94523,-3.87043,0.57748
-3.98268,-3.39760,0.46258
-3.92508,-3.35611,0.57328
-3.77336,-3.43171,0.52954
-3.57070,-3.02900,0.50283
-3.24467,-2.47388,0.34826
-2.86344,-1.84823,0.43020
-2.46566,-0.78874,0.38295
-1.95421,-0.62477,0.37330
-1.40740,-0.31042,0.48859
-0.83174,-0.26315,0.64301
-0.23702,0.14858,0.20085
0.36712,0.01987,0.18680
0.90178,1.32724,0.32836
1.50218,4.07175,0.85673
2.07826,2.89370,1.18954
2.61755,4.38552,0.79875
3.11735,3.21446,0.62916
3.56972,4.38854,0.88649
3.97320,3.58219,0.71543
4.28570,3.58036,0.84177
4.62764,3.96991,0.58812
4.91499,5.91409,0.76337
5.14131,5.83945,1.14168
5.30448,6.69548,1.10839
5.40266,6.24175,1.17133
5.43495,6.27575,1.37020
5.40115,5.85029,1.15807
5.30180,5.31019,0.74903
5.13817,4.89361,0.89597
4.91220,4.72796,0.70199
4.62654,4.11571,0.69817
4.28448,3.44375,0.47028
3.89429,3.11344,0.52185
3.45399,3.72531,0.71169
2.96694,4.53857,0.91078
2.43853,2.28784,0.32493
1.87684,1.31100,0.50598
1.29490,1.93665,0.66544
0.69308,0.08981,0.25302
0.07855,-0.17785,0.14594
-0.54458,-0.05842,0.22026
-1.17317,-0.20606,0.15397
-1.80230,1.18553,0.46470
-2.42262,-0.03297,1.31914
-3.02473,0.86859,0.48812
-3.60514,-0.82327,0.38221
-4.15797,-1.86926,0.32103
-4.67710,-1.97726,0.48747
-5.15682,-3.03267,0.74149
-5.59190,-2.70776,1.35280
-5.98425,-3.82343,0.55546
-6.09553,-5.95578,1.06216
-6.50670,-5.43293,0.94060
-6.86709,-3.80519,0.64981
-7.16795,-2.08364,1.74735
-7.40995,-4.41364,0.64271
-7.58985,-2.80590,2.47607
-7.35179,-5.90798,1.80852
-7.55787,1.43533,2.54586
-7.70898,-0.41915,2.86427
-7.80087,4.10340,0.90235
-7.82828,4.03569,1.20230
-7.79112,3.30267,1.26954
-7.68969,2.53516,2.30689
-7.24501,3.91384,1.65070
-7.17980,3.06341,2.28886
-7.04741,-4.39094,0.81484
-6.85390,-3.58992,0.58307
-6.59855,-4.33574,0.71015
-6.27989,-3.32250,0.73180
-5.91328,-4.28298,0.75288
-5.25102,-4.80690,0.80136
-4.91288,-4.08650,0.70138
-4.52283,-3.82662,0.81757
-4.08545,-3.66813,0.68256
-3.60527,-2.40192,0.65296
-3.08761,-1.21897,0.39322
-2.53808,-1.12770,0.33872
-1.96267,-1.16362,0.33167
-1.11309,-1.12778,0.67780
-0.55129,0.14866,0.20986
0.02822,0.43738,0.16330
0.61434,0.11550,0.25495
1.19131,2.64442,0.46039
1.74391,-0.38003,1.62129
2.26716,-6.26504,1.58703
2.74221,-5.88584,1.23289
3.17629,-1.10315,2.14017
3.48786,4.03434,0.60579
3.66719,3.57622,0.47249
3.67781,3.57704,0.68933
3.56930,3.12245,0.52700
3.26125,3.07897,0.48458
2.88692,3.56004,0.70200
2.40064,1.94699,0.32495
1.83876,0.01762,0.12991
1.25807,-0.09438,0.29156
0.65756,-0.38619,0.16890
0.04454,-0.82560,0.21012
-0.57717,-0.34318,0.14743
-1.20251,0.46063,0.32404
-1.82592,1.77172,0.45127
-2.43650,1.80347,0.43444
-3.02580,1.48691,0.52581
-3.59038,1.11585,0.96340
-4.12427,-0.29965,1.03980
-4.62158,-1.68742,0.69459
-5.07687,2.84192,1.70189
-5.48521,2.59742,1.72830
-5.84221,5.57419,1.09400
-6.15145,3.65745,1.13013
-6.39285,0.56085,1.65962
-6.57691,1.33397,2.08969
-6.69992,-2.84116,1.55352
-6.75308,-2.60863,2.04716
-6.74310,-4.46878,0.63225
-6.66826,-4.56578,0.83615
-6.53000,-4.18500,0.87014
-6.32194,-4.45083,0.84765
-6.06105,-5.31206,0.82631
-5.73623,-5.33682,0.81587
-5.36619,-5.26057,0.88934
-4.94668,-4.56293,0.71871
-4.48261,-4.65566,0.95067
-3.97883,-3.37699,0.99445
-3.44090,-0.75544,0.43997
-2.87465,-0.37693,0.94844
-2.28627,-0.90006,0.43980
-1.68212,-0.66217,0.30266
-1.06878,-1.00710,0.61084
-0.45191,0.33107,0.33661
0.16883,-0.16943,0.31860
0.79296,-0.53315,0.24487
1.41556,0.98829,1.52397
2.03091,2.74815,0.61296
2.64140,1.68675,1.25135
3.22063,-1.11214,1.14573
3.77783,1.44081,1.37254
4.29974,-3.15531,0.57156
4.79014,-2.17097,1.20162
5.24194,-2.12615,1.51673
5.64767,-2.47843,1.64074
6.00257,2.36932,0.90459
6.30275,-1.80673,1.76375
6.54499,4.19737,0.84154
6.72673,5.29445,1.28265
6.84608,6.16100,1.22459
6.90182,4.93600,1.06831
6.89341,-1.41242,1.98485
6.82100,-3.58572,0.79647
6.68544,-3.39408,0.70155
0.00336,0.05436,0.09298
0.00333,0.10440,0.09917
0.00299,0.08300,0.09969
0.00244,0.10419,0.09711
0.00160,0.06722,0.06192
0.00028,0.20602,0.16964
-0.00146,0.09951,0.14905
-0.00370,0.06943,0.16013
-0.00649,-0.05954,0.12992
-0.00991,0.02360,0.09960
-0.01141,-0.00939,0.07902
-0.01966,-0.01866,0.08741
-0.02517,0.03426,0.11310
-0.03189,0.02580,0.11703
-0.03973,-0.01060,0.10080
-0.04867,-0.07669,0.10221
