N,p_offroad
5,4.885020391838853e-09
10,9.770040424758575e-09
15,1.465505770842648e-08
20,1.9540078880963645e-08
25,2.442509466100021e-08
30,2.9310118183987362e-08
35,3.41951346872248e-08
40,3.908014975979742e-08
45,4.396516344971315e-08
50,4.8850175894257016e-08
