condition,n,n_onroad,accuracy,mae,signed_bias,bias_sd,mc_std_median,beta,pixel_js,maha_median,auroc,sym_kl
in-distribution,2180,1912,,,-0.009062458158995814,0.2068818337336541,0.171425,0.8,0.0,,0.5,0.0
baseline_run,5046,4681,0.8352916043580432,0.22325725853443146,-0.001487455671864986,0.2169590810159625,0.15641,0.8743559254855331,0.013986852781876603,1.8578231684503264,0.42407056911278623,0.7707984932149605
cond1_trees,8429,7882,0.4947982745496067,0.617863655090332,0.2366634356762243,1.081371007764831,0.23552,0.6217819432910191,0.04357559809737625,2.8174474633131683,0.6550642658972247,2.2140578111328906
cond1_light,6879,6406,0.5599438026849828,0.7360592484474182,0.3892947315017171,0.6908800755887394,0.1625,0.8517226341037941,0.02382426661579223,1.9027717264884947,0.4405896952698747,88.04480407526938
cond1_cones,6922,6458,0.8070610096004955,0.16498473286628723,0.02587360018581604,0.3294658987210004,0.16246500000000003,0.874024848309737,0.0011704142445565459,1.931261391226983,0.4580568139345631,3.6721405633072264
generated_road,4714,4371,0.05147563486616335,3.278656005859375,-3.071836810798444,1.6894831321045587,0.630475,0.04306321595248197,0.1801860936942784,4.258039206382506,0.8754799290032034,10.365617464043721
mini_monaco,3965,3883,0.0865310327066701,2.5717995166778564,-2.4184489672933296,1.0744154787817561,0.77498,0.001008827238335435,0.2347414259239998,7.198976160581265,0.9538134132373868,30.21229531593781
