N,p_offroad
5,2.5180556399999997e-06
10,9.027344575549414e-06
15,1.5538534112513582e-05
20,2.2049681363514345e-05
25,2.856078621882401e-05
30,3.507184867871243e-05
35,4.158286874345567e-05
40,4.809384641332974e-05
45,5.46047816886107e-05
50,6.11156745695746e-05
