N,p_offroad
5,5.119998025804069e-07
10,1.023999222415575e-06
15,1.5359985381870365e-06
20,2.0479971875919974e-06
25,2.5599954658991268e-06
30,3.071993466564473e-06
35,3.5839912614817312e-06
40,4.095988892865984e-06
45,4.607986377756613e-06
50,5.119983715780035e-06
