cte_true,mc_mean,mc_std
-0.02009,-3.03362,0.76823
0.51489,-3.03756,0.83210
1.06930,-2.16696,0.69051
1.59567,-0.59096,0.40077
2.08398,-0.48850,0.28709
2.51037,-0.29834,0.17594
2.88789,-0.32824,0.23441
3.17047,-0.42018,0.23395
3.38635,-0.59201,0.22319
3.53817,-0.68891,0.23092
3.60030,-0.65044,0.23455
3.58661,-0.85624,0.30812
3.51874,-1.47883,0.41364
3.35675,-1.91345,0.42666
3.12419,-2.03027,0.45490
2.83591,-3.19744,0.54592
2.46216,-2.56784,0.36606
2.03690,1.76487,0.26080
1.55758,0.86477,0.30321
1.05127,1.09613,0.29015
0.49468,0.56368,0.27674
-0.08481,-0.37492,0.16560
-0.67756,-1.46734,0.31993
-1.27107,3.11285,0.84496
-1.84034,5.05672,0.95540
-2.36274,4.36769,1.08924
-2.85602,4.29955,0.53157
-3.30299,5.93328,0.91775
-3.69840,5.20559,1.01267
-4.03782,5.06932,1.13238
-4.31438,5.14252,0.79902
-4.54325,4.60627,0.75544
-4.70765,4.42981,0.69494
-4.80593,4.02697,0.73385
-4.84161,4.65310,0.87539
-4.81987,4.00177,0.75108
-4.73146,3.80977,0.98049
-4.57500,3.45990,1.53686
-4.37809,3.00805,1.36062
-4.11938,-0.27362,2.70761
-3.78446,-3.31447,1.05292
-3.42946,-2.70786,0.73354
-3.02232,-1.79830,0.44077
-2.56769,-4.34693,0.85572
-2.07075,-3.35572,0.67804
-1.52097,-3.00587,0.58873
-0.96590,-5.60827,1.39768
-0.38467,-2.92056,0.66860
0.21406,-1.73753,0.52264
0.81877,-0.13248,0.21869
1.41670,0.04840,0.13456
1.99898,0.05539,0.18014
2.54312,0.04757,0.13980
3.05408,0.08133,0.13974
3.50925,0.09707,0.15277
3.91513,0.08906,0.09636
4.26312,0.02986,0.07322
4.56970,0.06472,0.12943
4.80328,0.02342,0.16166
4.97415,0.02135,0.14953
5.08079,-0.03911,0.14100
5.12047,-0.10959,0.11919
5.08561,-0.03723,0.13383
4.98556,-0.13802,0.16121
4.82055,-0.15455,0.17631
4.57921,-0.22563,0.16557
4.27921,-0.29794,0.14976
3.93011,-0.85076,0.25416
3.51525,-1.54245,0.33927
3.05179,-1.85231,0.61602
2.54310,1.61951,0.26357
2.01435,0.99957,0.22615
1.43219,0.85361,0.31387
0.83668,0.90168,0.39884
0.22528,-0.13258,0.12384
-0.39579,-0.22957,0.14273
-1.02209,-2.73044,1.02579
-1.64485,-3.96862,1.83058
-2.25385,3.74753,1.24161
-2.84095,3.28584,0.49007
-3.40197,4.66712,0.85791
-3.93110,4.11858,0.89829
-4.41182,4.29114,0.73735
-4.86883,4.83023,0.87086
-5.27878,4.49144,0.85827
-5.63725,4.14358,0.77062
-5.94039,3.46514,0.60909
-6.18096,3.89806,0.99742
-6.38752,4.03851,0.83478
-6.52365,4.32780,0.97944
-6.59848,4.16591,0.85929
-6.61385,4.47424,0.62801
-6.57607,3.91341,0.76178
-6.46728,3.58235,0.50257
-6.27721,3.80930,0.56779
-6.08019,4.22470,0.51834
-5.82436,3.30997,0.64989
-5.51150,-0.53066,2.18971
-5.11830,-2.85686,1.02981
-4.72777,-3.37761,0.68264
-4.28964,-3.02285,0.59691
-3.80872,-2.27428,0.57626
-3.29028,-1.87818,0.99193
-2.70938,-3.93955,0.69230
-2.14252,-2.84331,0.55974
-1.55363,-3.88141,0.79033
-0.94912,-3.36827,0.64929
-0.33426,0.33681,1.51041
0.28761,-0.56781,0.50736
0.91354,0.11468,0.14062
1.53748,0.14541,0.17153
2.15286,0.14733,0.14917
2.74384,0.09627,0.09882
3.31028,0.10958,0.14034
3.84673,0.12499,0.19956
4.34135,0.04233,0.16081
4.81683,0.05409,0.10323
5.21089,0.08201,0.13204
5.55248,0.04610,0.07695
5.83800,0.07136,0.09619
6.06090,0.04443,0.14473
6.20382,0.03613,0.13896
6.28300,0.04390,0.13498
6.29476,0.04100,0.10284
6.22961,-0.00564,0.09730
6.10075,-0.07016,0.11796
5.90937,-0.04210,0.11932
5.65299,-0.10558,0.10709
5.33960,-0.10758,0.14160
4.97445,-0.06844,0.13185
4.55558,-0.11975,0.10617
4.09200,-0.71331,0.21776
3.59381,-1.42957,0.30212
3.05706,1.13609,0.29400
2.49487,1.35038,0.25579
1.90137,0.72410,0.28783
1.29149,1.00016,0.30713
0.67719,-1.13465,0.49157
0.05956,0.01756,0.14676
-0.56283,-1.45945,0.91333
-1.18818,-3.01125,0.98530
-1.81057,2.48242,1.06393
-2.42355,-0.45693,2.22069
-3.02198,2.04379,1.29702
-3.60039,4.77942,1.08923
-4.15264,4.05616,0.57675
-4.67272,5.05118,1.11047
-5.15501,4.27168,0.83065
-5.59246,3.39274,0.66618
-5.98686,3.09346,0.63456
-6.33702,2.65872,0.74236
-6.62243,2.74662,0.54818
-6.84888,2.94364,0.65763
-7.02901,3.10272,0.55897
-7.14149,2.88693,0.64774
-7.19183,3.27420,0.74720
-7.17773,3.50295,0.70824
-7.10024,3.92342,0.76654
-6.95975,3.68798,0.75131
-6.75547,3.37166,0.51879
-6.49496,3.10081,0.38627
-6.18418,2.28277,0.71020
-5.81342,0.01330,2.15883
-5.39679,-2.86260,1.09657
-4.94674,-3.23501,0.68294
-4.45584,-3.61740,0.93314
-3.92924,-1.19633,0.33931
-3.37266,1.24103,0.82917
-2.77253,-2.48658,0.38874
-2.17824,-2.88554,0.66660
-1.57103,-2.16746,0.66063
-0.95653,-0.75674,2.28221
-0.33713,-0.04634,1.52639
0.28684,0.31324,0.24815
0.91206,0.16106,0.14883
1.53151,0.12027,0.13624
2.14162,0.09166,0.16245
2.73341,0.06065,0.11661
3.29802,0.09445,0.13447
3.83413,0.14943,0.15895
4.32910,0.06833,0.12461
4.79227,0.07925,0.12776
5.21886,0.02354,0.12714
5.57511,0.09420,0.19654
5.87675,0.02225,0.17049
6.12043,0.05089,0.13540
6.30278,0.02906,0.15939
6.41429,0.10725,0.12802
6.46201,0.04828,0.14037
6.44570,0.03878,0.18207
6.35740,0.03166,0.13585
6.20621,-0.04470,0.10945
5.99639,0.02700,0.10249
5.71388,0.06489,0.13522
5.37616,-0.03001,0.09671
4.98692,-0.03875,0.17642
4.55121,-0.20598,0.12790
4.06643,-0.71646,0.29730
3.55009,-1.33089,0.22062
2.99853,1.25864,0.31403
2.42006,1.16747,0.34668
1.82089,0.72801,0.26689
1.20800,0.67239,0.35306
0.59257,-0.89550,0.48072
-0.02232,0.05995,0.21877
-0.63233,-2.15432,0.71683
-1.24358,1.80646,0.65086
-1.86010,1.93859,1.76576
-2.47878,-3.71073,0.71578
-3.09529,-0.17917,0.75898
-3.70607,4.48887,0.76557
-4.30484,-1.25419,1.24190
-4.88512,2.42581,0.38445
-5.44065,1.32372,0.27593
-5.96544,0.76385,0.27589
-6.46087,0.45567,0.24423
-6.90594,0.30262,0.17887
-7.30753,0.24069,0.17490
-7.65424,0.16108,0.12972
-7.93566,0.35863,0.23044
0.00293,-3.17063,0.48575
0.00293,-3.14588,0.54605
0.00266,-3.07027,0.38673
0.00187,-3.29175,0.49911
0.00065,-2.99168,0.38196
-0.00087,-2.95790,0.48168
-0.00297,-2.98725,0.35933
-0.00562,-3.24370,0.40413
-0.00888,-3.05431,0.37392
-0.01285,-3.18508,0.44482
-0.01757,-3.20347,0.49874
-0.02310,-3.15122,0.39695
-0.02954,-3.53735,0.55066
-0.04011,-3.28287,0.53089
-0.04649,-3.66479,0.42642
-0.05507,-3.58183,0.47736
-0.05839,-3.62964,0.57569
-0.07186,-3.47196,0.49484
-0.08684,-3.10893,0.55819
