cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.16410,-2.92913,0.94602,-2.06325,-3.47829,-4.60345,-1.07325,-2.83394,-3.45891,-3.48438,-2.57372,-2.75627,-2.96587
-0.16781,-3.00901,0.91129,-2.18505,-3.46562,-4.65344,-1.23531,-2.95231,-3.49868,-3.56887,-2.60525,-2.88301,-3.04252
-0.15761,-3.09365,0.90393,-2.41450,-3.67314,-4.50175,-1.09959,-3.09049,-3.70696,-3.45280,-2.79367,-3.06673,-3.13689
-0.14560,-3.25860,0.80437,-2.56076,-3.88901,-4.50633,-1.53062,-3.36213,-3.74413,-3.56839,-3.11137,-3.08223,-3.23108
-0.13209,-3.27513,0.84211,-2.70498,-3.88919,-4.62673,-1.41434,-3.23992,-3.79713,-3.52366,-3.08166,-3.15048,-3.32318
-0.11738,-3.42464,0.83560,-2.73880,-4.09693,-4.69852,-1.62466,-3.22179,-4.06937,-3.61845,-3.38556,-3.36958,-3.42273
-0.10169,-3.33403,0.90737,-2.61298,-4.09091,-4.65793,-1.31053,-3.25874,-3.91820,-3.60755,-3.39155,-3.12507,-3.36686
-0.08457,-3.48768,0.77524,-2.79477,-4.25758,-4.62786,-1.87454,-3.35326,-4.05663,-3.57909,-3.61904,-3.22985,-3.48420
-0.06802,-3.48335,0.84125,-2.79789,-4.42696,-4.66880,-1.68858,-3.45100,-4.02839,-3.66389,-3.36108,-3.29338,-3.45357
-0.05128,-3.43675,0.75898,-2.80993,-4.27334,-4.51709,-1.82190,-3.54424,-3.89090,-3.59574,-3.32450,-3.19276,-3.39707
-0.03487,-3.51270,0.69792,-2.85864,-4.40720,-4.50596,-2.16008,-3.62798,-3.90108,-3.67271,-3.30614,-3.18526,-3.50198
-0.01919,-3.56815,0.68089,-2.73736,-4.31190,-4.65363,-2.38350,-3.71524,-3.96773,-3.71396,-3.54983,-3.21120,-3.43719
-0.00158,-3.47131,0.83478,-2.73732,-4.33848,-4.64993,-1.68610,-3.61375,-3.85976,-3.74635,-3.41044,-3.09319,-3.57782
