K,mae,onroad_acc,u_median,threshold,beta,pearson,spearman,acc_pass,acc_fail,pass_given_large_err
2,0.19393565596330273,0.8096234309623431,0.10420986187736744,0.2208775310256795,0.8,0.5153619125402978,0.24885321665576723,0.8136419001218027,0.7851851851851852,0.25
3,0.17169071712538225,0.8289748953974896,0.12531377923380405,0.21510319132747202,0.8,0.5933816109206267,0.2916916003317,0.8444976076555024,0.7208333333333333,0.0
4,0.16769677866972474,0.8467573221757322,0.12722758529757827,0.21178971708315888,0.8,0.7077499427549572,0.34115039698993865,0.8514150943396226,0.8101851851851852,0.0
5,0.16371154403669724,0.8467573221757322,0.12664204710777927,0.207730561648949,0.8,0.7001103528995234,0.3590462625470986,0.8538866160140269,0.7860696517412935,0.0
6,0.16646647247706423,0.8394351464435147,0.13091308303924282,0.20262239553097425,0.8,0.7340831702891678,0.34888812534083347,0.8461088355763604,0.7832512315270936,0.0
7,0.1668694626474443,0.8420502092050209,0.12821121648420059,0.19710766841904626,0.8,0.7478335780479566,0.35954095968114347,0.8498253783469151,0.7731958762886598,0.0
8,0.16558844380733947,0.8430962343096234,0.12826804184560153,0.19811479904270385,0.8,0.7623065534731913,0.35661202040786394,0.8556461001164144,0.7319587628865979,0.0
9,0.16548039398572886,0.8425732217573222,0.1269150692342742,0.19462858748088271,0.8,0.7596464982809293,0.36157046330850606,0.8514219384793964,0.7619047619047619,0.0
10,0.16720217477064217,0.8425732217573222,0.12693630205797557,0.1923319189537293,0.8,0.7559919599416639,0.3595626020581849,0.8539130434782609,0.7379679144385026,0.0
