arm,condition,frames,on_road_frames,accuracy,mae,bias,median_u,beta,pass_given_large_err,pred_sd,pixel_js,maha_auroc,sym_kl_nats
MC,control,5046,4681,0.8352916043580432,0.22325725853443146,-0.0014874556718649725,0.15641,0.8743559254855331,0.36363636363636365,1.0775972917851373,0.013986852781876603,0.42407056911278623,0.7707984932149605
MC,cones,6922,6458,0.8070610096004955,0.16498473286628723,0.025873600185815946,0.16246500000000003,0.874024848309737,0.0,0.9832535491396971,0.0011704142445565459,0.4580568139345631,3.6721405633072264
MC,light,6879,6406,0.5599438026849828,0.7360592484474182,0.3892947315017166,0.1625,0.8517226341037941,0.5022914757103575,0.45818538922826146,0.02382426661579223,0.4405896952698747,88.04480407526938
MC,trees,8429,7882,0.4947982745496067,0.617863655090332,0.23666343567622425,0.23552,0.6217819432910191,0.24862155388471177,1.5096987199033363,0.04357559809737625,0.6550642658972247,2.2140578111328906
MC,road,4714,4371,0.05147563486616335,3.278656005859375,-3.0718368107984406,0.630475,0.04306321595248197,0.003528225806451613,1.8257453586949872,0.1801860936942784,0.8754799290032034,10.365617464043721
MC,circuit,3965,3883,0.0865310327066701,2.5717995166778564,-2.4184489672933247,0.77498,0.001008827238335435,0.001083130246412131,1.424688545084598,0.2347414259239998,0.9538134132373868,30.21229531593781
DE,control,5046,4681,0.870326853236488,0.19637048244476318,0.026584144681692123,0.11242790520191193,0.8876337693222355,0.0,1.005096435546875,,,
DE,cones,6922,6458,0.8429854444100341,0.15127360820770264,0.05573948100209236,0.11913755536079407,0.860733891938746,0.0,0.9412768483161926,,,
DE,light,6879,6406,0.7269747112082423,0.3801601231098175,0.17600233852863312,0.24317948520183563,0.2514900421572903,0.0,0.5093544721603394,,,
DE,trees,8429,7882,0.5540471961431109,0.5123165845870972,0.24373894929885864,0.22437909245491028,0.41226717285561754,0.01693889897156685,1.3278688192367554,,,
DE,road,4714,4371,0.05284831846259437,2.8903896808624268,-2.643272638320923,0.8427556753158569,0.0016970725498515061,0.0,1.4993014335632324,,,
DE,circuit,3965,3883,0.07494205511202678,1.8302502632141113,-1.8039398193359375,0.6435866355895996,0.0015132408575031526,0.0016260162601626016,0.9907180070877075,,,
