arm,condition,beta,m1_point,m1_median,m1_ci95,m2_point,m2_median,m2_ci95,abort_point,abort_median,abort_ci95,n_passing_onroad
MC,control,0.8743559254855331,2.2730861120007295e-05,8.820383338258941e-05,"[1.54e-05, 0.000374]",0.0,5.9284320952163714e-05,"[5.3e-06, 0.000373]",2.9310118183987362e-08,2.9309306696975538e-08,"[2.93e-08, 2.93e-08]",4398
MC,cones,0.874024848309737,0.0,7.393954038588696e-06,"[6.22e-08, 5.23e-05]",0.0,1.640128854761937e-05,"[5.36e-07, 9.41e-05]",3.0257052803509285e-08,3.025682069217231e-08,"[3.03e-08, 3.03e-08]",6024
MC,light,0.8517226341037941,0.9705844734150109,0.9701119875891347,"[0.9607, 0.9819]",0.8644838847486824,0.8644270055826024,"[0.8007, 0.9067]",7.783186570327366e-08,7.781369362242894e-08,"[7.1e-08, 8.62e-08]",5604
MC,trees,0.6217819432910191,0.004138605379520843,0.005416799429604142,"[0.00243, 0.0114]",0.0,0.0004963340831164484,"[5.89e-05, 0.00164]",0.0017945646820916965,0.0017941458694740505,"[0.00179, 0.00179]",5221
MC,road,0.04306321595248197,0.9999986199348737,0.999998213467425,"[1, 1]",0.0017839541349327693,0.0009966590427079843,"[4.17e-05, 0.00717]",0.9982110673491209,0.9989987888602794,"[0.9928, 1]",70
MC,circuit,0.001008827238335435,0.9963199843524938,0.996308601036441,"[0.9873, 0.9991]",2.507991375384252e-07,2.3433129517553206e-07,"[4.54e-08, 5.8e-07]",0.9999995849081008,0.9999996066386835,"[1, 1]",4
DE,control,0.8876337693222355,0.0,5.849917606576086e-05,"[5.17e-06, 0.000339]",0.0,1.6293544014102485e-05,"[4.12e-07, 0.00016]",9.65570946909809e-09,9.655636128353987e-09,"[9.65e-09, 9.66e-09]",4450
DE,cones,0.860733891938746,0.0,6.060139757108497e-06,"[3.9e-08, 4.55e-05]",0.0,8.347198864041411e-06,"[3.07e-07, 8.26e-05]",8.253388630756163e-08,8.253356436985503e-08,"[8.25e-08, 8.25e-08]",5915
DE,light,0.25134467219072537,0.0,0.00017441312627719817,"[2.72e-06, 0.000987]",0.0,0.030547280038982556,"[0.000467, 0.1856]",0.8187813636487216,0.8009021133819786,"[0.7053, 0.8185]",1700
DE,trees,0.41226717285561754,0.0,0.001112254235559777,"[0.000133, 0.00375]",0.0,8.993167156936593e-05,"[2.62e-07, 0.0009]",0.13741761366670405,0.13741154313400045,"[0.1374, 0.1374]",3438
DE,road,0.0016970725498515061,0.9999996961893803,0.99999971167489,"[1, 1]",5.321033609843372e-07,3.516901836846993e-07,"[1.53e-08, 1.75e-06]",0.9999987349531292,0.9999988842626238,"[1, 1]",1
DE,circuit,0.0015132408575031526,0.9951844274878362,0.9948572594997822,"[0.9824, 0.9989]",8.219259491428691e-07,7.357681482800089e-07,"[8.84e-08, 1.9e-06]",0.9999987550097156,0.9999988258440595,"[1, 1]",6
