arm,condition,policy,frames,laps,handovers,handover_frame,handover_abs_cte,cf_handover_frame,cf_handover_abs_cte,first_offroad_frame,first_offroad_mode,model_frames,model_certified_pct,model_offroad_pct,model_mean_abs_cte,fallback_frames,fallback_offroad_pct,fallback_mean_abs_cte,log
DE,light,unguarded,158,0,0,,,9,0.0116844177246094,131,MODEL,158,10.126582278481013,17.088607594936708,1.2469271511971196,0,,,de_cond1_light_unguarded_20260913_002558.csv
DE,light,unguarded,165,0,0,,,9,0.00323867797851563,134,MODEL,165,8.484848484848486,18.787878787878785,1.3856285042835004,0,,,de_cond1_light_unguarded_paired_ensemble_20260912_030301.csv
DE,light,unguarded,159,0,0,,,9,0.0046539306640625,133,MODEL,159,6.289308176100629,16.352201257861633,1.1860296748719124,0,,,de_cond1_light_unguarded_rep3_20260912_023525.csv
DE,light,unguarded,164,0,0,,,9,0.0037689208984375,134,MODEL,164,7.317073170731707,18.29268292682927,1.3490756717396946,0,,,de_cond1_light_unguarded_rep4_20260912_023606.csv
DE,light,unguarded,159,0,0,,,9,0.00579071044921875,133,MODEL,159,9.433962264150944,16.352201257861633,1.1819272832300678,0,,,de_cond1_light_unguarded_rep5_20260912_023642.csv
DE,light,unguarded,163,0,0,,,12,0.217495694756508,136,MODEL,163,9.202453987730062,16.56441717791411,1.2555618125351111,0,,,de_cond1_light_unguarded_same_session_20260912_025745.csv
DE,trees,M=10,1000,1,1,9,0.00207901000976563,,,,,9,0.0,0.0,0.00113254123263889,991,0.0,0.357135376027446,de_cond1_trees_M10_20260913_000137.csv
DE,trees,M=10,1739,3,1,9,0.00413131713867188,,,,,9,0.0,0.0,0.003253089057074656,1730,0.0,0.35526792451825445,de_cond1_trees_M10_M10_20260912_184916.csv
DE,trees,unguarded,500,0,0,,,9,0.00804519653320313,374,MODEL,500,51.0,4.2,0.7459144590664655,0,,,de_cond1_trees_unguarded_20260913_000756.csv
DE,trees,unguarded,1638,3,0,,,9,0.00689697265625,374,MODEL,1638,47.863247863247864,4.822954822954824,0.7740252273714014,0,,,de_cond1_trees_unguarded_m1test_20260912_184636.csv
DE,road,M=10,4200,0,1,9,0.00406913040205836,,,,,9,0.0,0.0,0.0014266942679468128,4191,0.0,0.302453234849005,de_generated_road_M10_20260912_234556.csv
DE,road,M=10,6000,0,1,9,0.0031844200566411,,,4336,FALLBACK,9,0.0,0.0,0.0027333902091615735,5991,27.624770489066936,6.455570290914263,de_generated_road_M10_M10_20260912_190753.csv
DE,road,unguarded,86,0,0,,,9,0.018599471077323,47,MODEL,86,1.1627906976744187,45.348837209302324,2.4792210154653644,0,,,de_generated_road_unguarded_20260912_235045.csv
DE,road,unguarded,84,0,0,,,9,0.0260402113199234,46,MODEL,84,0.0,45.23809523809524,2.46045739448718,0,,,de_generated_road_unguarded_m1test_20260912_190637.csv
DE,road,unguarded,84,0,0,,,9,0.0267450138926506,46,MODEL,84,0.0,45.23809523809524,2.4678834716684097,0,,,de_generated_road_unguarded_m1test_20260912_190705.csv
DE,circuit,M=10,3760,3,1,9,1.93867325782776,,,,,9,0.0,0.0,1.9386392434438078,3751,0.0,0.33835369592206765,de_mini_monaco_M10_M10_20260912_191937.csv
DE,circuit,unguarded,3727,3,0,,,9,1.92359602451324,2320,MODEL,3727,0.8049369466058492,0.10732492621411323,1.3984892133724316,0,,,de_mini_monaco_unguarded_m1test_20260912_191448.csv
