N,p_offroad
5,5.042842886267049e-09
10,1.0085685387257745e-08
15,1.5128524945832915e-08
20,2.0171368651887813e-08
25,2.5214206571994976e-08
30,3.0257052803509285e-08
35,3.5299891478052525e-08
40,4.034272859527505e-08
45,4.538556420242088e-08
50,5.042839844381903e-08
