cte_true,mc_mean,mc_std
0.44948,0.33249,0.15928
0.51098,0.28860,0.16536
0.54916,0.54792,0.15265
0.56321,0.57466,0.14677
0.55330,0.51671,0.14393
0.51981,0.55242,0.16214
0.46404,0.26417,0.15793
0.38786,0.33035,0.16251
0.29293,0.22290,0.13507
0.18193,0.07581,0.07817
0.05871,0.07335,0.09642
-0.07345,-0.01417,0.07460
-0.21215,-0.20969,0.14401
-0.35375,-0.45699,0.14647
-0.49318,-0.59394,0.11214
-0.62766,-0.70516,0.14121
-0.75339,-0.88777,0.17444
-0.86633,-1.06367,0.22896
-0.96200,-1.05496,0.20196
-1.03844,-1.21357,0.25054
-1.09334,-1.11773,0.22241
-1.12518,-1.19810,0.20133
-1.13252,-1.25797,0.35629
-1.11538,-1.13265,0.25432
-1.07445,-0.96798,0.18180
-1.01085,-0.84922,0.19184
-0.92732,-0.87461,0.19422
-0.82657,-0.81849,0.13950
-0.71007,-0.62066,0.14672
-0.58072,-0.55478,0.14317
-0.44397,-0.29301,0.16460
-0.30392,-0.20850,0.13549
-0.06593,-0.14709,0.16448
0.00143,0.10057,0.11479
0.05620,0.02222,0.08887
0.09900,0.08710,0.10649
0.12950,0.06339,0.13798
0.22092,0.11059,0.13901
0.14916,0.09825,0.12611
0.06117,0.03225,0.11728
-0.03873,-0.05202,0.09801
-0.14776,-0.28845,0.16982
-0.20182,-0.44619,0.13618
-0.38623,-0.87203,0.19314
-0.56856,-0.88396,0.15125
-0.74361,-0.88795,0.16412
-0.90340,-1.08987,0.21599
-0.96489,-1.16532,0.20386
-1.15349,-1.21062,0.21302
-1.31930,-1.33459,0.30195
-1.45183,-1.35863,0.25970
-1.55071,-1.62668,0.27177
-1.50678,-1.74701,0.23326
-1.61674,-1.74216,0.34141
-1.69639,-1.80027,0.28383
-1.74541,-1.72048,0.27466
-1.76365,-1.76294,0.27016
-1.75114,-1.73403,0.26563
-1.63941,-1.75442,0.20238
-1.63970,-1.61857,0.28653
-1.60952,-1.42015,0.27121
-1.54907,-1.32958,0.24730
-1.45880,-1.50700,0.29277
-1.23984,-1.18556,0.19290
-1.16345,-1.02102,0.20119
-1.06364,-1.02974,0.18815
-0.94407,-0.89504,0.13580
-0.80584,-0.86978,0.18249
-0.65294,-0.83554,0.18216
-0.49222,-0.48312,0.19794
-0.32771,-0.11326,0.11535
-0.16096,-0.10155,0.13647
0.00289,0.15336,0.13430
0.15568,0.24560,0.16414
0.29330,0.32058,0.15398
0.41441,0.48824,0.13926
0.51426,0.47885,0.13020
0.58716,0.33344,0.19175
0.63179,0.55507,0.15062
0.63185,0.46454,0.12999
0.65647,0.47488,0.16239
0.65286,0.56187,0.13034
0.62076,0.37160,0.12141
0.51487,0.34788,0.11656
0.46885,0.31608,0.15300
0.40205,0.19616,0.13434
0.31407,0.13729,0.12568
0.20765,0.12147,0.12494
0.04649,-0.01607,0.08709
-0.04675,-0.18141,0.18141
-0.14559,-0.30473,0.22172
-0.24999,-0.46120,0.17201
-0.35672,-0.33384,0.13621
-0.49031,-0.44255,0.17892
-0.55009,-0.73444,0.15887
-0.60170,-0.44511,0.19209
-0.64408,-0.55420,0.21043
-0.67491,-0.71593,0.18617
-0.70406,-0.77843,0.18250
-0.67146,-0.73162,0.15220
-0.62599,-0.61717,0.16786
-0.57062,-0.62924,0.18614
-0.53577,-0.51355,0.19246
-0.42724,-0.44650,0.16762
-0.31269,-0.20724,0.14760
-0.19869,0.08609,0.10784
-0.08875,0.00562,0.10426
0.00098,0.02881,0.09493
0.13373,0.28959,0.12940
0.25324,0.25433,0.12244
0.35458,0.53173,0.16961
0.39397,0.65028,0.16776
0.48903,0.58432,0.14268
0.55959,0.67020,0.09754
0.60259,0.66928,0.09031
0.61640,0.49455,0.15514
0.57168,0.50604,0.14503
0.56575,0.43540,0.12736
0.53363,0.39381,0.09420
0.47503,0.46153,0.15857
0.39185,0.26434,0.14754
0.27049,0.08326,0.07858
0.18604,0.06397,0.11294
0.08640,-0.01594,0.07821
-0.02672,-0.02491,0.11922
-0.19058,-0.17506,0.10784
-0.27837,-0.31767,0.15185
-0.36676,-0.39562,0.15799
-0.45447,-0.51070,0.14942
-0.53723,-0.58381,0.11255
-0.63497,-0.68383,0.15766
-0.66167,-0.78512,0.14436
-0.67535,-0.98144,0.18256
-0.67601,-1.00999,0.19612
-0.70076,-0.83654,0.12697
-0.63751,-0.79196,0.12586
-0.56127,-0.66902,0.13298
