cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.53323,-0.45463,0.10024,-0.38105,-0.39119,-0.40881,-0.36220,-0.40988,-0.62245,-0.48173,-0.35325,-0.52592,-0.60985
-0.53802,-0.49280,0.10966,-0.39316,-0.51387,-0.37828,-0.38793,-0.51011,-0.66546,-0.51220,-0.36060,-0.57679,-0.62962
-0.53875,-0.57674,0.10866,-0.72245,-0.56072,-0.53739,-0.51099,-0.56289,-0.73809,-0.54603,-0.36090,-0.57950,-0.64849
-0.53530,-0.49366,0.07020,-0.50910,-0.48777,-0.54228,-0.42871,-0.51330,-0.55768,-0.49648,-0.34329,-0.46619,-0.59185
-0.52750,-0.54102,0.13066,-0.83534,-0.44189,-0.51958,-0.50423,-0.49642,-0.62463,-0.48554,-0.36094,-0.50327,-0.63833
-0.51529,-0.49745,0.11176,-0.69518,-0.45424,-0.34296,-0.51474,-0.51098,-0.60413,-0.44776,-0.34917,-0.45893,-0.59639
-0.49886,-0.51066,0.11314,-0.72265,-0.45361,-0.40181,-0.51227,-0.55256,-0.63720,-0.43420,-0.35948,-0.45074,-0.58202
-0.47836,-0.53302,0.13321,-0.74578,-0.52878,-0.33434,-0.55034,-0.56799,-0.66850,-0.48917,-0.34862,-0.45176,-0.64495
-0.45375,-0.45770,0.11404,-0.63800,-0.42958,-0.30029,-0.52075,-0.43661,-0.56540,-0.39714,-0.34115,-0.36188,-0.58618
-0.42544,-0.41987,0.11390,-0.60269,-0.43477,-0.23384,-0.51006,-0.41790,-0.50972,-0.38722,-0.31198,-0.29938,-0.49111
-0.39430,-0.41773,0.09266,-0.50510,-0.35964,-0.30424,-0.49522,-0.42622,-0.51110,-0.40974,-0.32668,-0.29671,-0.54262
-0.36088,-0.25683,0.10171,-0.18375,-0.19152,-0.08225,-0.35391,-0.21674,-0.36905,-0.30911,-0.31514,-0.16684,-0.37999
-0.32534,-0.26880,0.09285,-0.18412,-0.19979,-0.13321,-0.32257,-0.23898,-0.38447,-0.36015,-0.31499,-0.17597,-0.37374
-0.28876,-0.20524,0.07553,-0.13946,-0.17040,-0.08061,-0.26978,-0.20785,-0.20991,-0.30256,-0.29847,-0.12658,-0.24675
-0.25233,-0.10815,0.07866,-0.10595,-0.03795,-0.02747,-0.13858,-0.16586,-0.02227,-0.21772,-0.21807,-0.01827,-0.12934
-0.21687,-0.09914,0.07889,-0.08121,-0.08193,-0.01590,-0.11807,-0.15918,-0.03923,-0.22993,-0.18890,0.02630,-0.10332
-0.18279,-0.12360,0.07517,-0.12237,-0.05499,-0.04182,-0.17317,-0.17481,-0.12033,-0.23879,-0.18824,0.00638,-0.12790
-0.15115,-0.14144,0.06914,-0.16802,-0.03052,-0.05763,-0.17584,-0.17802,-0.12785,-0.25128,-0.20192,-0.07434,-0.14900
