cte_true,mc_mean,mc_std
0.51407,0.17903,0.15884
0.48998,0.26078,0.13261
0.44439,0.09778,0.10890
0.37814,0.13039,0.08195
0.29376,0.20812,0.18814
0.19455,0.13677,0.11311
0.08303,0.09999,0.11178
-0.03961,0.08949,0.09569
-0.16782,-0.06219,0.11031
-0.29824,-0.01661,0.14664
-0.42974,-0.05319,0.10319
-0.55827,-0.10978,0.13233
-0.67881,-0.10341,0.15860
-0.78659,-0.17640,0.20269
-0.88108,-0.13880,0.12946
-0.95884,-0.23454,0.19588
-1.01715,-0.24964,0.21442
-1.05302,-0.62222,0.35330
-1.06612,-0.69946,0.28733
-1.05685,-0.67797,0.27228
-1.02535,-0.63197,0.21031
-0.97257,-0.70621,0.20736
-0.90110,-0.62387,0.25548
-0.81192,-0.42039,0.18280
-0.70768,-0.13242,0.11576
-0.59320,-0.05143,0.11738
-0.46960,-0.00785,0.07979
-0.34041,-0.04147,0.10418
-0.10759,0.02187,0.10979
-0.05848,0.12283,0.20653
-0.01872,0.15660,0.15144
0.01258,0.08098,0.12000
0.03380,0.07358,0.09691
0.12553,-0.01369,0.10222
0.05020,0.04705,0.07667
-0.03913,0.09781,0.11962
-0.13569,0.05098,0.12838
-0.23796,0.01316,0.14525
-0.27726,-0.05040,0.16570
-0.45363,-0.07374,0.13231
-0.62745,-0.13276,0.13639
-0.79144,0.12090,0.20737
-0.94151,0.37596,0.40867
-0.99032,0.73609,0.40857
-1.16932,0.90622,0.58691
-1.32419,0.54054,0.43262
-1.44848,0.86322,0.45773
-1.53843,1.07338,0.34713
-1.48543,1.01030,0.40142
-1.58573,0.91812,0.42656
-1.65526,0.60780,0.75805
-1.69379,0.85280,0.51592
-1.70122,0.73424,0.39316
-1.67765,0.55347,0.57295
-1.55977,-0.25639,0.57912
-1.54881,-0.32537,0.45093
-1.50715,-0.29236,0.29645
-1.43511,-0.48667,0.35221
-1.33318,-0.84863,0.29925
-1.11092,-0.83792,0.24381
-1.02311,-0.95182,0.28260
-0.91676,-0.79484,0.26166
-0.79283,-0.66983,0.19770
-0.65381,-0.38724,0.18976
-0.50520,-0.20606,0.16440
-0.35150,-0.07718,0.13538
-0.19655,-0.00359,0.15281
-0.04480,0.06306,0.11891
0.09770,0.14263,0.14427
0.22699,0.08946,0.16137
0.34043,0.17016,0.08801
0.43381,0.32832,0.15396
0.50297,0.16107,0.15019
0.54647,0.22116,0.13733
0.52385,0.00633,0.08998
0.55273,0.02264,0.08209
0.55646,0.16124,0.17247
0.53404,0.12756,0.12333
0.48629,0.07523,0.11176
0.38376,0.11346,0.12579
0.32993,0.06432,0.09135
0.25873,0.04778,0.14450
0.17069,0.07004,0.13246
0.06859,0.04232,0.06717
-0.06571,0.04755,0.15222
-0.14709,-0.11991,0.16122
-0.23254,-0.13612,0.15387
-0.32010,-0.15456,0.12026
-0.45178,-0.25326,0.16394
-0.49493,-0.52335,0.22707
-0.53084,-0.57512,0.24013
-0.55929,-0.52733,0.24941
-0.57905,-0.64302,0.20395
-0.61459,-0.50501,0.23275
-0.57726,-0.56072,0.22536
-0.52952,-0.55073,0.23537
-0.47466,-0.52499,0.27684
-0.45693,-0.47211,0.21974
-0.35411,-0.24124,0.14851
-0.24902,-0.13282,0.14850
-0.14606,-0.05434,0.11701
-0.04861,-0.01759,0.10918
0.01560,0.07246,0.11973
0.13383,0.07726,0.14888
0.23756,0.07900,0.09454
0.32470,0.16984,0.14388
0.39173,0.14868,0.13883
0.42421,0.16895,0.16136
0.48223,0.15905,0.12166
0.51458,0.22450,0.20955
0.52050,0.30005,0.19842
