N,p_offroad
5,2.5264399544818995e-08
10,4.5040914392712855e-08
15,5.852823332616787e-08
20,6.761033065904727e-08
25,7.372085889470063e-08
30,7.783186570327366e-08
35,8.059763712186705e-08
40,8.24583727094793e-08
45,8.371022651197414e-08
50,8.455244210876476e-08
