N,p_offroad
5,0.06610273061112017
10,0.34081661689507425
15,0.5550743695843458
20,0.7006028588816109
25,0.7985708116012445
30,0.8644838847486824
35,0.9088283101539971
40,0.9386620202365138
45,0.9587333275468588
50,0.9722363133205998
