replicate,p
0,0.01149086485
1,0.001265829627
2,6.92144176e-05
3,0.08292225737
4,0.09441771558
5,0.03151588342
6,0.04335631317
7,0.04479799923
8,0.04058063587
9,0.01164045052
10,0.001361891057
11,0.02748120377
12,0.003398660935
13,0.1424021774
14,0.00642363866
15,0.1516314656
16,0.01900067748
17,0.0041591741
18,0.008571686438
19,0.0704717058
20,0.04935560099
21,0.07973783655
22,0.05908143817
23,0.03972948987
24,0.03479366096
25,0.002383227086
26,0.03355598692
27,0.03008575323
28,0.03960768135
29,0.001991817609
30,0.1313418097
31,0.1031182519
32,0.0125727895
33,0.01369035716
34,0.0306331482
35,0.02210769175
36,0.05544980487
37,0.006966492039
38,0.003522571205
39,0.0008063217099
40,0.1950183383
41,0.00831417185
42,0.04664846044
43,0.1242991993
44,0.07808472854
45,0.03740819798
46,0.0155448888
47,0.006170849164
48,0.003883949293
49,0.05771994905
50,0.04262265879
51,0.05109313489
52,0.0007269253102
53,0.09259677305
54,0.005346395956
55,0.005539842751
56,0.04442387518
57,0.2010256229
58,0.01605594858
59,0.1203946375
60,0.01014735594
61,0.01661334687
62,0.01630529004
63,0.06874650047
64,0.1299756345
65,0.001703470654
66,0.156633028
67,0.1067692038
68,0.05416488067
69,0.006554142411
70,0.03303419085
71,0.01089287339
72,0.006953644367
73,0.004711103856
74,0.07261438664
75,0.09373374475
76,0.16809542
77,0.01257528834
78,0.00313114154
79,0.03571498018
80,0.04486890132
81,0.002130035329
82,0.0005511700141
83,0.06524726043
84,0.0527797697
85,0.0708248659
86,0.02951753664
87,0.005948811163
88,0.0349927883
89,0.00613612717
90,0.01478073655
91,0.01353013605
92,0.04282516679
93,0.05732117094
94,0.02279813722
95,0.007495571883
96,0.1228531352
97,0.004346031356
98,0.02257386292
99,0.02340710394
100,6.187547444e-05
101,0.001031316453
102,0.007878527373
103,0.003696487451
104,0.1397896961
105,0.149902974
106,0.03046141188
107,0.01965666328
108,0.2084523948
109,0.0002703797196
110,0.0004720172754
111,0.004718907356
112,0.04789912936
113,0.0695970019
114,0.001556608889
115,0.03291752246
116,0.01929983898
117,0.0623823047
118,0.03262262752
119,0.05846113667
120,0.0227603977
121,0.02634261027
122,0.0521062494
123,0.00321020736
124,0.01687996528
125,0.003634551076
126,0.04052650277
127,0.0437294745
128,0.009165735006
129,0.00094374066
130,0.01030235515
131,0.01285932254
132,0.0008940486454
133,0.03194244438
134,0.05369340349
135,0.08467678766
136,0.1439170424
137,0.1799513961
138,0.0810437964
139,0.1855767352
140,0.07495734685
141,0.1142775676
142,0.005313513445
143,0.006479939265
144,0.0004725718082
145,0.03898688958
146,0.1697744904
147,0.03742865811
148,0.1166869492
149,0.03520796094
150,0.005240035641
151,0.003990269579
152,0.06118758252
153,0.115113998
154,0.06824451958
155,0.04433892874
156,0.02642881068
157,0.06174132694
158,0.001654402341
159,0.05880865868
160,0.01085235721
161,0.007601185993
162,0.06302470171
163,0.007190446844
164,0.03777229237
165,0.1868694826
166,0.04843036863
167,0.0009036206471
168,0.0185917903
169,0.0451115702
170,0.1614318901
171,0.0555815039
172,0.01388508956
173,0.004244759101
174,0.0001780671603
175,0.04671620551
176,0.05845641676
177,0.01598120614
178,0.001385834749
179,8.362288986e-05
180,0.0007287588751
181,0.01990243095
182,0.01558263744
183,0.02588183222
184,0.00907847442
185,0.008708668146
186,0.08752728067
187,0.06497106567
188,0.08049644496
189,0.1712371741
190,0.02703386425
191,0.01611515914
192,0.07999151431
193,0.03104179543
194,0.140517514
195,0.006535112217
196,0.2030126129
197,0.006728826467
198,0.002319678596
199,0.1155172463
