cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.34333,-0.13998,0.20890,-0.07112,-0.39588,0.17614,-0.23330,0.14100,-0.25319,-0.33612,-0.21990,0.08942,-0.29689
-0.36076,-0.21365,0.21916,-0.07015,-0.48701,0.12135,-0.32895,0.09236,-0.32648,-0.44624,-0.26819,-0.05667,-0.36652
-0.37792,-0.21070,0.21941,-0.07071,-0.47290,0.15750,-0.28153,0.04838,-0.37998,-0.45176,-0.26624,-0.04180,-0.34796
-0.39476,-0.22835,0.22609,-0.08610,-0.47603,0.13120,-0.33023,0.04729,-0.42951,-0.42735,-0.32275,-0.00575,-0.38432
-0.41106,-0.26152,0.22097,-0.12418,-0.53843,0.11598,-0.29468,0.00362,-0.37360,-0.48603,-0.34008,-0.11666,-0.46119
-0.42678,-0.32452,0.22218,-0.21467,-0.64519,-0.00452,-0.37154,0.00108,-0.44723,-0.49290,-0.46004,-0.13742,-0.47279
-0.44171,-0.33184,0.22782,-0.16781,-0.64975,-0.05395,-0.38611,0.01647,-0.39187,-0.55742,-0.50153,-0.14943,-0.47703
-0.45578,-0.32996,0.21768,-0.14573,-0.61829,-0.07597,-0.36125,-0.00593,-0.47380,-0.52198,-0.46323,-0.13894,-0.49453
-0.46881,-0.31151,0.22863,-0.09816,-0.63802,-0.02805,-0.37391,0.00167,-0.47610,-0.45859,-0.42515,-0.11660,-0.50221
-0.48067,-0.35132,0.21931,-0.18368,-0.58925,-0.01666,-0.38709,-0.08436,-0.52964,-0.55525,-0.50400,-0.14979,-0.51348
-0.49134,-0.38696,0.21623,-0.20438,-0.63963,-0.11067,-0.41885,-0.12561,-0.58699,-0.56877,-0.53659,-0.14168,-0.53642
-0.50061,-0.33174,0.20873,-0.17654,-0.54084,-0.01270,-0.39469,-0.05540,-0.50359,-0.53088,-0.44547,-0.15538,-0.50188
-0.50833,-0.33242,0.23046,-0.15142,-0.53478,0.01985,-0.39199,-0.01828,-0.55120,-0.56033,-0.46098,-0.16203,-0.51300
