cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.33278,-0.28987,0.10126,-0.14035,-0.22084,-0.19819,-0.31887,-0.23273,-0.44782,-0.33088,-0.29728,-0.26296,-0.44875
-0.35034,-0.29850,0.08648,-0.16553,-0.24811,-0.24575,-0.29355,-0.24022,-0.46010,-0.35021,-0.31061,-0.26754,-0.40338
-0.36775,-0.30287,0.09917,-0.14030,-0.27386,-0.25087,-0.29734,-0.22175,-0.46480,-0.34909,-0.31644,-0.26358,-0.45068
-0.38471,-0.36146,0.10169,-0.26928,-0.29121,-0.29734,-0.36013,-0.25188,-0.50995,-0.42679,-0.31718,-0.34256,-0.54823
-0.40134,-0.38371,0.09928,-0.37869,-0.32058,-0.29938,-0.35668,-0.25801,-0.52466,-0.44415,-0.33125,-0.35562,-0.56807
-0.41747,-0.38109,0.09853,-0.37208,-0.35351,-0.28761,-0.33966,-0.25407,-0.51414,-0.44679,-0.34299,-0.33392,-0.56613
-0.43285,-0.39764,0.09343,-0.37889,-0.31484,-0.44469,-0.35824,-0.27319,-0.50635,-0.47506,-0.33256,-0.33375,-0.55881
-0.44732,-0.43985,0.09718,-0.43864,-0.38437,-0.43032,-0.41040,-0.30152,-0.57871,-0.48671,-0.34774,-0.40516,-0.61495
-0.46096,-0.43842,0.08468,-0.43042,-0.40974,-0.43749,-0.38014,-0.33210,-0.55329,-0.46473,-0.34847,-0.42569,-0.60214
-0.47357,-0.48012,0.08221,-0.51883,-0.46187,-0.46506,-0.40689,-0.40928,-0.58099,-0.47600,-0.35890,-0.49028,-0.63309
-0.48487,-0.48368,0.08007,-0.45279,-0.47046,-0.48100,-0.40793,-0.46615,-0.58942,-0.48907,-0.36532,-0.47236,-0.64232
-0.49482,-0.47103,0.07919,-0.40826,-0.43562,-0.45557,-0.38520,-0.49256,-0.57473,-0.47636,-0.36943,-0.49494,-0.61764
-0.50342,-0.44625,0.08877,-0.32484,-0.38199,-0.44588,-0.38473,-0.40431,-0.57416,-0.46260,-0.38334,-0.50419,-0.59648
-0.51051,-0.53418,0.06664,-0.54050,-0.51201,-0.55499,-0.48597,-0.53302,-0.58805,-0.54673,-0.38118,-0.57105,-0.62828
-0.51590,-0.50244,0.08278,-0.53223,-0.48771,-0.46243,-0.40128,-0.42224,-0.61807,-0.52615,-0.39614,-0.55693,-0.62122
-0.51958,-0.52613,0.08557,-0.57783,-0.49532,-0.44852,-0.43336,-0.49767,-0.66201,-0.55054,-0.39686,-0.58771,-0.61146
-0.52148,-0.44873,0.09818,-0.42532,-0.40319,-0.36098,-0.39090,-0.33748,-0.60161,-0.51659,-0.36276,-0.48451,-0.60389
-0.52153,-0.41742,0.08769,-0.32613,-0.35102,-0.34489,-0.37689,-0.39376,-0.56693,-0.49026,-0.36056,-0.41191,-0.55185
-0.51968,-0.43394,0.08133,-0.43531,-0.35941,-0.36253,-0.43074,-0.36968,-0.53558,-0.48779,-0.34502,-0.42599,-0.58734
-0.51590,-0.53475,0.09399,-0.68653,-0.46176,-0.49055,-0.48149,-0.52541,-0.65361,-0.54766,-0.38557,-0.49151,-0.62337
-0.51020,-0.47138,0.09307,-0.56857,-0.40900,-0.32327,-0.48681,-0.50206,-0.59395,-0.47652,-0.35652,-0.42178,-0.57534
-0.50257,-0.48867,0.09486,-0.61304,-0.41491,-0.38200,-0.50173,-0.48966,-0.62174,-0.47726,-0.35866,-0.43471,-0.59295
-0.49309,-0.48090,0.10975,-0.68663,-0.39533,-0.41361,-0.47034,-0.50809,-0.62158,-0.41874,-0.36013,-0.38134,-0.55320
-0.48180,-0.51110,0.09950,-0.71116,-0.45419,-0.51546,-0.46950,-0.52456,-0.57596,-0.48693,-0.34518,-0.43794,-0.59011
-0.46873,-0.54264,0.12350,-0.80348,-0.53155,-0.41945,-0.51680,-0.57778,-0.64408,-0.46557,-0.37251,-0.48925,-0.60592
-0.45399,-0.46841,0.11919,-0.68311,-0.45775,-0.30280,-0.49173,-0.49542,-0.57469,-0.38361,-0.34129,-0.38158,-0.57215
-0.43779,-0.47198,0.10200,-0.61000,-0.49211,-0.31380,-0.48754,-0.53449,-0.55109,-0.43078,-0.33410,-0.38861,-0.57731
-0.42036,-0.47885,0.12306,-0.60627,-0.46453,-0.26229,-0.57355,-0.54026,-0.58834,-0.41701,-0.33071,-0.39955,-0.60598
-0.40181,-0.47905,0.11472,-0.64443,-0.42833,-0.32596,-0.55550,-0.51086,-0.55650,-0.48299,-0.34145,-0.34339,-0.60107
-0.38223,-0.41158,0.10728,-0.54901,-0.35094,-0.25875,-0.49370,-0.39406,-0.48634,-0.40722,-0.33005,-0.28484,-0.56089
-0.36180,-0.39513,0.12747,-0.57018,-0.31545,-0.20206,-0.50224,-0.31556,-0.50495,-0.38100,-0.35007,-0.26404,-0.54574
-0.34091,-0.37636,0.12986,-0.59349,-0.34303,-0.16070,-0.43003,-0.29943,-0.50814,-0.36979,-0.34131,-0.23851,-0.47916
-0.31974,-0.27173,0.09827,-0.25746,-0.23647,-0.07678,-0.32457,-0.22265,-0.40162,-0.34274,-0.29077,-0.18268,-0.38155
-0.29839,-0.27450,0.08470,-0.22679,-0.20847,-0.16198,-0.32586,-0.24107,-0.38315,-0.33260,-0.28633,-0.17591,-0.40283
-0.27715,-0.17923,0.08087,-0.08375,-0.07581,-0.10194,-0.25675,-0.18027,-0.27177,-0.28523,-0.23782,-0.11736,-0.18160
-0.25645,-0.11548,0.07344,-0.08333,-0.04200,-0.04206,-0.17107,-0.16312,-0.07620,-0.23276,-0.19971,-0.02114,-0.12346
-0.23650,-0.10997,0.06556,-0.07848,-0.06008,-0.02747,-0.13711,-0.16746,-0.04199,-0.16934,-0.21908,-0.05418,-0.14449
-0.21742,-0.08808,0.09526,-0.07859,0.00840,0.02434,-0.13463,-0.14644,-0.01323,-0.23218,-0.16175,0.03111,-0.17787
-0.19949,-0.13500,0.07824,-0.09521,-0.04376,-0.03708,-0.16806,-0.18148,-0.09353,-0.26490,-0.24455,-0.09382,-0.12766
-0.18312,-0.11236,0.06443,-0.10162,-0.05660,-0.00575,-0.14809,-0.16295,-0.06125,-0.21936,-0.17184,-0.07653,-0.11964
-0.16849,-0.09340,0.09508,-0.07417,-0.07346,-0.00319,-0.13050,-0.14894,-0.02361,-0.30027,-0.13765,0.04182,-0.08401
-0.15568,-0.01840,0.07971,-0.06021,-0.00563,0.02890,-0.10228,-0.09596,0.08712,-0.01759,-0.12733,0.11089,-0.00189
-0.14502,-0.08501,0.07247,-0.08555,-0.03687,0.00234,-0.10096,-0.12222,-0.00025,-0.21119,-0.18663,-0.04069,-0.06806
-0.13665,-0.11326,0.06858,-0.11788,-0.10490,-0.03200,-0.13561,-0.14098,-0.06504,-0.24587,-0.19121,-0.06114,-0.03798
-0.13068,-0.10197,0.08129,-0.14212,-0.06809,-0.03867,-0.10710,-0.12849,0.01200,-0.24497,-0.20534,-0.08117,-0.01580
-0.12717,-0.12047,0.08944,-0.14204,-0.10412,-0.03172,-0.12759,-0.11361,0.00105,-0.28317,-0.24911,-0.10689,-0.04754
-0.12624,-0.13023,0.07878,-0.12083,-0.10384,-0.04101,-0.16518,-0.13556,-0.05832,-0.25329,-0.26077,-0.12539,-0.03811
-0.12791,-0.10680,0.09104,-0.13445,-0.09835,-0.01130,-0.12460,-0.11100,0.03193,-0.20932,-0.25894,-0.14489,-0.00707
-0.13215,-0.10549,0.07456,-0.10379,-0.12902,0.00468,-0.10932,-0.11212,-0.03540,-0.19352,-0.22652,-0.13866,-0.01128
-0.13896,-0.13286,0.06451,-0.13102,-0.12971,-0.02089,-0.08374,-0.14034,-0.16127,-0.19108,-0.25388,-0.14289,-0.07382
-0.14819,-0.21323,0.08963,-0.19537,-0.14358,-0.08611,-0.16861,-0.17691,-0.40904,-0.22196,-0.30280,-0.18917,-0.23873
-0.15968,-0.16251,0.06427,-0.13675,-0.10814,-0.06594,-0.10242,-0.18938,-0.26482,-0.17359,-0.25891,-0.16562,-0.15949
-0.17342,-0.16682,0.06570,-0.12296,-0.11669,-0.04790,-0.16928,-0.18878,-0.29073,-0.15521,-0.23119,-0.17915,-0.16636
-0.18921,-0.16963,0.08086,-0.14258,-0.11133,-0.03093,-0.13174,-0.19854,-0.33020,-0.17760,-0.24622,-0.19024,-0.13690
-0.20667,-0.20297,0.08939,-0.14649,-0.16460,-0.04418,-0.19821,-0.21813,-0.38400,-0.23406,-0.27955,-0.20422,-0.15627
-0.22543,-0.21041,0.08383,-0.15726,-0.16999,-0.07120,-0.17961,-0.20813,-0.38457,-0.26485,-0.27875,-0.19664,-0.19310
-0.24523,-0.28230,0.10659,-0.19485,-0.25286,-0.12125,-0.31502,-0.27364,-0.52618,-0.34700,-0.29399,-0.26724,-0.23101
-0.26599,-0.25799,0.10211,-0.15489,-0.23948,-0.11640,-0.30908,-0.25104,-0.43828,-0.38849,-0.28516,-0.23609,-0.16100
-0.28734,-0.33591,0.08046,-0.26278,-0.23724,-0.37404,-0.43444,-0.28961,-0.44518,-0.41718,-0.36098,-0.29797,-0.23968
-0.30861,-0.28257,0.09255,-0.19975,-0.20881,-0.28897,-0.31408,-0.23491,-0.40703,-0.38062,-0.33455,-0.34649,-0.11054
-0.32944,-0.30259,0.10421,-0.15122,-0.18846,-0.37252,-0.34567,-0.25355,-0.41010,-0.42767,-0.37158,-0.34108,-0.16402
-0.34978,-0.30550,0.10702,-0.12126,-0.22748,-0.38062,-0.35012,-0.26257,-0.41566,-0.41265,-0.31162,-0.40734,-0.16567
-0.36925,-0.24019,0.08244,-0.12072,-0.17359,-0.25798,-0.28701,-0.22212,-0.29163,-0.32645,-0.28785,-0.33174,-0.10279
-0.38730,-0.20310,0.09578,-0.08732,-0.19524,-0.26755,-0.28634,-0.18831,-0.18638,-0.31204,-0.25017,-0.25610,-0.00155
-0.40345,-0.34319,0.10425,-0.16550,-0.23847,-0.44295,-0.40876,-0.24735,-0.40021,-0.45721,-0.31041,-0.45708,-0.30396
-0.41750,-0.32148,0.11792,-0.10364,-0.28741,-0.45779,-0.39567,-0.24135,-0.32381,-0.41200,-0.27312,-0.48753,-0.23245
-0.42935,-0.29875,0.09549,-0.08947,-0.25937,-0.40549,-0.36187,-0.23041,-0.32493,-0.34864,-0.29423,-0.40939,-0.26366
-0.43876,-0.37685,0.10744,-0.15669,-0.32658,-0.36458,-0.42936,-0.27275,-0.42999,-0.44102,-0.34874,-0.47297,-0.52577
-0.44534,-0.34349,0.10946,-0.09870,-0.28634,-0.31660,-0.39310,-0.29867,-0.42086,-0.45720,-0.31329,-0.36888,-0.48124
-0.44899,-0.23566,0.10947,-0.02743,-0.22454,-0.16493,-0.32110,-0.20210,-0.23189,-0.43189,-0.19176,-0.22357,-0.33738
-0.44971,-0.18879,0.11298,-0.05340,-0.07598,0.00129,-0.26868,-0.20311,-0.27900,-0.35286,-0.19012,-0.20029,-0.26574
-0.44747,-0.11210,0.08593,-0.02036,0.00407,0.03289,-0.18715,-0.17893,-0.18511,-0.19326,-0.12491,-0.14762,-0.12063
-0.44225,-0.21563,0.11817,-0.05671,-0.03109,-0.13530,-0.32486,-0.23742,-0.34257,-0.36571,-0.14746,-0.23879,-0.27640
-0.25963,-0.26747,0.08433,-0.13998,-0.18976,-0.22798,-0.36462,-0.23897,-0.31593,-0.40985,-0.21695,-0.24016,-0.33055
-0.34504,-0.37011,0.09616,-0.22059,-0.28867,-0.38887,-0.42560,-0.33524,-0.43368,-0.46761,-0.26289,-0.35222,-0.52572
-0.43379,-0.42995,0.09168,-0.39848,-0.27255,-0.48296,-0.42031,-0.37081,-0.50153,-0.46409,-0.31630,-0.50719,-0.56525
-0.52047,-0.38012,0.12469,-0.28924,-0.26219,-0.27542,-0.39450,-0.30166,-0.49793,-0.52803,-0.21659,-0.51611,-0.51957
-0.60174,-0.33525,0.08158,-0.24609,-0.33136,-0.27899,-0.35458,-0.29674,-0.37397,-0.43112,-0.19393,-0.44407,-0.40168
-0.67496,-0.41097,0.08323,-0.31834,-0.50585,-0.31495,-0.38985,-0.40913,-0.50689,-0.48092,-0.29311,-0.49401,-0.39662
-0.54530,-0.53826,0.10030,-0.35188,-0.65732,-0.48262,-0.44880,-0.66202,-0.61607,-0.53223,-0.50107,-0.62129,-0.50927
-0.69546,-0.70576,0.08487,-0.59598,-0.71215,-0.76258,-0.57362,-0.80684,-0.83187,-0.71558,-0.63127,-0.72249,-0.70520
-0.84036,-0.90719,0.09410,-0.81059,-0.96588,-0.87193,-0.90097,-0.92635,-1.06500,-0.99063,-0.81261,-0.76216,-0.96577
-0.97384,-0.97792,0.11234,-0.91984,-1.04872,-0.93811,-0.96225,-0.98849,-1.14336,-1.08579,-0.87462,-0.76056,-1.05747
-1.09198,-0.91237,0.13600,-0.89791,-0.96563,-0.93244,-0.99745,-0.93611,-0.91669,-1.17564,-0.82403,-0.64430,-0.83350
-1.19207,-0.97522,0.14074,-0.99458,-1.04182,-0.95346,-1.03297,-1.06332,-0.89347,-1.25409,-0.92187,-0.72083,-0.87581
-1.27084,-1.21714,0.13011,-1.13393,-1.14921,-1.07041,-1.27476,-1.39420,-1.04313,-1.39500,-1.12619,-1.33187,-1.25267
-1.16741,-1.36214,0.10124,-1.35451,-1.30139,-1.23824,-1.35776,-1.51939,-1.40098,-1.47473,-1.18424,-1.40915,-1.38105
-1.29891,-1.41583,0.11293,-1.39896,-1.35632,-1.34754,-1.35484,-1.56370,-1.53792,-1.54309,-1.19547,-1.44796,-1.41253
-1.41340,-1.40281,0.11386,-1.40444,-1.43601,-1.42680,-1.35372,-1.59150,-1.42048,-1.45982,-1.13644,-1.43446,-1.36446
-1.50330,-1.39349,0.11015,-1.33466,-1.40552,-1.42174,-1.37304,-1.57383,-1.45514,-1.49420,-1.19015,-1.41919,-1.26738
-1.57036,-1.34923,0.09794,-1.26783,-1.36411,-1.34004,-1.38850,-1.51375,-1.35912,-1.45181,-1.20679,-1.38695,-1.21340
-1.61531,-1.32128,0.11738,-1.16024,-1.32757,-1.32343,-1.38744,-1.46367,-1.22418,-1.46873,-1.24074,-1.44143,-1.17540
-1.63785,-1.46614,0.10915,-1.45170,-1.51354,-1.40219,-1.38196,-1.68836,-1.55847,-1.50006,-1.28630,-1.45907,-1.41977
-1.50423,-1.52932,0.10633,-1.48871,-1.57259,-1.45892,-1.38371,-1.74245,-1.63022,-1.57262,-1.41326,-1.53449,-1.49622
-1.57981,-1.60901,0.10897,-1.60675,-1.56260,-1.64436,-1.40292,-1.77442,-1.76770,-1.60344,-1.54684,-1.54658,-1.63447
-1.63310,-1.51640,0.10388,-1.39306,-1.47454,-1.53624,-1.38600,-1.66178,-1.70795,-1.54187,-1.48135,-1.51993,-1.46124
-1.66377,-1.46770,0.10818,-1.28303,-1.51846,-1.45002,-1.34757,-1.55080,-1.66574,-1.48145,-1.48792,-1.39019,-1.50181
-1.67163,-1.36295,0.08834,-1.14819,-1.36773,-1.35731,-1.36187,-1.34180,-1.49488,-1.34566,-1.41441,-1.38038,-1.41730
-1.65656,-1.37901,0.13124,-1.11573,-1.37489,-1.42772,-1.35487,-1.38764,-1.65438,-1.35444,-1.37379,-1.42868,-1.31792
-1.42076,-1.41442,0.14329,-1.16776,-1.47398,-1.48402,-1.31133,-1.36136,-1.69966,-1.35807,-1.53300,-1.39726,-1.35773
-1.45913,-1.30813,0.12305,-1.12647,-1.27775,-1.45345,-1.30971,-1.27617,-1.57326,-1.26353,-1.30232,-1.22720,-1.27142
-1.47448,-1.29635,0.14311,-1.28009,-1.20488,-1.46184,-1.23298,-1.12761,-1.62277,-1.26890,-1.25229,-1.21527,-1.29689
-1.46668,-1.16593,0.13075,-1.09233,-1.13233,-1.30371,-1.19985,-1.05060,-1.46398,-1.17931,-1.11202,-1.04542,-1.07970
-1.43565,-1.05111,0.09351,-0.97385,-1.03919,-1.14689,-1.05600,-0.90745,-1.23460,-1.05799,-1.10313,-1.00736,-0.98459
-1.38142,-0.97804,0.11323,-0.86191,-0.88612,-1.12909,-0.98946,-0.84565,-1.18892,-0.93102,-1.04514,-0.93742,-0.96571
-1.30416,-0.97760,0.09421,-0.86302,-0.94615,-1.12474,-1.01853,-0.87953,-1.13470,-0.93483,-0.96309,-0.90502,-1.00642
-1.06065,-0.99191,0.08916,-1.02464,-0.99790,-1.15827,-0.99478,-0.88381,-1.11929,-0.90675,-0.93737,-0.92833,-0.96792
-1.04084,-0.94879,0.10283,-0.94190,-0.98253,-1.16714,-0.90867,-0.83294,-1.04641,-0.85129,-0.86427,-0.89597,-0.99677
-1.01008,-0.83517,0.11091,-0.76733,-0.81770,-1.09862,-0.72998,-0.73389,-0.92889,-0.79375,-0.77403,-0.84558,-0.86195
-0.96414,-0.58910,0.13951,-0.42426,-0.61546,-0.83222,-0.53863,-0.49602,-0.71619,-0.56186,-0.37132,-0.68078,-0.65427
-0.90268,-0.60403,0.11654,-0.43853,-0.65609,-0.72740,-0.55236,-0.54449,-0.71786,-0.59987,-0.40544,-0.68952,-0.70877
-0.82733,-0.59621,0.11004,-0.41174,-0.68845,-0.62939,-0.54855,-0.55105,-0.66740,-0.61067,-0.42831,-0.70437,-0.72219
-0.59183,-0.59663,0.11827,-0.43947,-0.62160,-0.74492,-0.55631,-0.57683,-0.65869,-0.55564,-0.38880,-0.68740,-0.73663
-0.60151,-0.60297,0.12771,-0.53076,-0.54891,-0.66610,-0.55488,-0.61443,-0.79422,-0.52365,-0.36048,-0.67317,-0.76307
-0.60789,-0.50508,0.10478,-0.40080,-0.48761,-0.57111,-0.48971,-0.43203,-0.64409,-0.51327,-0.30915,-0.57586,-0.62716
-0.60693,-0.36046,0.11630,-0.23793,-0.34965,-0.25149,-0.39337,-0.26769,-0.50878,-0.44967,-0.24112,-0.34312,-0.56179
-0.59836,-0.37647,0.09327,-0.31569,-0.37231,-0.31704,-0.37757,-0.25527,-0.51711,-0.44353,-0.32136,-0.31100,-0.53380
-0.58248,-0.42346,0.08377,-0.34140,-0.37012,-0.47192,-0.44250,-0.33329,-0.51532,-0.44795,-0.36867,-0.35762,-0.58583
-0.45095,-0.50323,0.07150,-0.39358,-0.46776,-0.54167,-0.50126,-0.47097,-0.58043,-0.55436,-0.39938,-0.51629,-0.60655
-0.52698,-0.60546,0.09931,-0.49910,-0.61524,-0.68598,-0.56660,-0.56262,-0.72368,-0.60876,-0.40968,-0.67718,-0.70579
-0.60028,-0.55098,0.08631,-0.42806,-0.54078,-0.58109,-0.54631,-0.54702,-0.57905,-0.64867,-0.38348,-0.64686,-0.60850
-0.66559,-0.52963,0.09553,-0.40896,-0.52240,-0.50998,-0.54246,-0.56861,-0.57635,-0.67241,-0.33870,-0.54904,-0.60736
-0.72080,-0.51830,0.09718,-0.39282,-0.46595,-0.45346,-0.53074,-0.57839,-0.56422,-0.67529,-0.36264,-0.57845,-0.58103
-0.59282,-0.61818,0.08758,-0.47317,-0.58707,-0.73506,-0.61284,-0.69658,-0.57566,-0.71724,-0.50197,-0.66372,-0.61848
-0.73241,-0.80648,0.04625,-0.80298,-0.74796,-0.82598,-0.85215,-0.79116,-0.89965,-0.76030,-0.83018,-0.77332,-0.78113
-0.86368,-0.86964,0.06342,-0.85685,-0.87472,-0.91585,-1.00576,-0.82491,-0.90974,-0.87437,-0.84341,-0.79754,-0.79330
-0.97926,-1.00351,0.11558,-1.05765,-1.02048,-1.01637,-1.05902,-0.87356,-1.24616,-1.04676,-0.86554,-0.87628,-0.97331
-1.07809,-0.99635,0.09874,-0.99355,-1.09726,-1.04398,-1.06349,-0.88894,-1.15077,-1.02072,-0.86991,-0.86105,-0.97384
-1.15582,-1.12901,0.12325,-1.21318,-1.28009,-1.20286,-1.10950,-0.93264,-1.26797,-1.17588,-1.08996,-0.93628,-1.08174
-1.21100,-1.19732,0.11471,-1.25987,-1.24957,-1.39295,-1.09521,-1.04563,-1.33299,-1.20652,-1.15780,-1.05756,-1.17513
-1.24220,-1.22592,0.12638,-1.29930,-1.27569,-1.45613,-1.12119,-1.04204,-1.34906,-1.23514,-1.23515,-1.09555,-1.14993
