replicate,p
0,0.001023861958
1,0.0003398561537
2,0.001489694119
3,0.001472664599
4,0.0007829549619
5,0.00400036278
6,0.002524109483
7,0.001083947933
8,0.0007991598484
9,0.00137620038
10,0.0005553047541
11,0.0008734331204
12,0.0003753112436
13,0.00116283803
14,2.481350787e-05
15,0.001025854912
16,0.00163640532
17,0.0003119920581
18,0.0001363089095
19,0.000393518873
20,0.003765810392
21,0.001048457543
22,0.0002654066159
23,0.0002029471627
24,0.0009658577603
25,0.001621119888
26,0.0003225873972
27,0.0009780324818
28,0.000785502203
29,0.001252746887
30,0.001297924693
31,0.0008054652096
32,0.001507407958
33,0.001441026776
34,0.0007626118717
35,0.001187393488
36,0.0006702647964
37,0.001377024263
38,0.001452889946
39,0.001121015655
40,0.000275511378
41,0.001466918928
42,0.002029777447
43,0.001354088383
44,0.0006483316498
45,4.949065341e-05
46,0.001231148886
47,0.001790418732
48,0.0007390204589
49,0.0002124589909
50,0.002967918384
51,0.0008089983775
52,0.002321689723
53,0.0007691245874
54,0.001425941075
55,0.000352955106
56,0.0002124876475
57,0.0004526993248
58,0.0004581268113
59,0.001176999833
60,0.002403913941
61,0.0006531609719
62,0.002700030887
63,0.0005887827775
64,0.0008606322548
65,0.0003980907573
66,0.0003880864499
67,0.001143431459
68,0.002901434457
69,0.002563795092
70,0.000999474047
71,0.002269082684
72,0.0004560057424
73,0.001818559054
74,0.003194041637
75,0.00151754538
76,0.001374623585
77,0.0007357588544
78,0.001643869214
79,0.001819932312
80,0.0001259395128
81,0.001378616013
82,0.00500366599
83,0.001250164955
84,0.0008015316862
85,0.001000466538
86,0.001509166789
87,0.0005269707627
88,0.001215069921
89,0.001260710218
90,0.0008722323479
91,0.001831860821
92,0.0002986281346
93,0.0009407726348
94,0.001645066256
95,0.001103492816
96,0.003558759535
97,0.002477681048
98,0.001676937132
99,0.001754583311
100,0.0003818939789
101,0.002008839825
102,0.0009033217744
103,0.000578481907
104,0.001151866781
105,1.562739005e-05
106,0.0003219220522
107,0.0003761537456
108,0.001281798364
109,0.0005600333366
110,0.002515911601
111,0.0006688740004
112,6.939411148e-05
113,0.0001327571504
114,0.00147545256
115,0.0008639602403
116,0.001251090243
117,0.0005185499583
118,0.0004893977499
119,0.001175830858
120,0.0003779799837
121,0.003991665115
122,0.002092520151
123,0.001481178436
124,0.0005644556203
125,0.002916101024
126,0.001783144365
127,0.002058833809
128,0.001128692674
129,0.001208040096
130,0.001167097859
131,0.004589360034
132,0.001192348611
133,0.0002260076133
134,0.002035275569
135,0.002160179022
136,0.001543038743
137,0.0007390354516
138,0.0002903736818
139,0.0009225496674
140,0.001159710756
141,0.003131570952
142,0.0007616158208
143,0.001370229004
144,0.001376973575
145,0.001565272596
146,0.001776690744
147,0.00126101011
148,0.001291011506
149,0.0005277087978
150,0.001519981028
151,0.0005116641869
152,0.0006176216473
153,0.002492606522
154,0.001293016394
155,0.001791751008
156,0.001186627548
157,0.001517717742
158,0.0002552238237
159,0.0005292682625
160,0.001315963692
161,0.001846086833
162,0.0003567840661
163,0.0003337099863
164,0.001972433612
165,0.0006547360029
166,0.000216520939
167,0.0002069268848
168,0.003752622445
169,0.00257805598
170,0.001514162484
171,0.0009763908837
172,0.0001656006878
173,0.00241605595
174,0.0006127376011
175,0.0008555136059
176,0.0006788635675
177,0.00182523648
178,0.00189400125
179,0.002504148061
180,0.001507972453
181,0.0004034580877
182,0.0004520459943
183,0.0007274971606
184,0.0008057395177
185,0.001089368304
186,0.001649956613
187,0.0005461529969
188,0.0007948208732
189,0.000691079244
190,0.001409108005
191,0.0003416621592
192,0.001998638427
193,0.0009655189711
194,0.0002002095154
195,0.0003069886954
196,0.0004713365378
197,0.0006373916279
198,0.0003988615424
199,0.002388887653
