cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.37463,-0.03838,0.16623,0.02256,0.24514,0.01750,-0.22566,-0.14607,0.06809,-0.25745,-0.17731,-0.07824,0.14759
-0.39151,0.04052,0.18938,0.11023,0.43343,0.02513,-0.17013,-0.10902,0.15830,-0.17634,0.05023,-0.09167,0.17503
-0.40794,0.11257,0.22837,0.15957,0.63295,0.01202,-0.01767,-0.02958,0.18776,-0.17564,0.22495,-0.08152,0.21290
-0.42376,0.24257,0.25324,0.26396,0.63074,0.07080,0.09655,0.14946,0.22205,-0.16924,0.30345,0.18066,0.67729
-0.43872,0.25816,0.30439,0.29634,0.70314,0.02582,0.08938,-0.04372,0.32511,-0.21876,0.32321,0.35998,0.72107
-0.45291,0.24810,0.34809,0.30480,0.67209,0.00717,-0.05447,-0.13988,0.41356,-0.29447,0.33581,0.57369,0.66273
-0.46613,0.23022,0.37737,0.51684,0.38380,-0.08478,0.04210,-0.12214,0.48098,-0.32911,-0.02067,0.75925,0.67591
-0.47823,0.19481,0.37278,0.47560,0.03527,0.03357,-0.00747,-0.08414,0.40287,-0.36836,0.02170,0.89355,0.54553
-0.48897,0.04313,0.34221,0.37692,-0.24378,-0.11119,-0.10605,-0.21601,0.19915,-0.37123,-0.01127,0.77741,0.13730
-0.49830,-0.20975,0.16758,0.02804,-0.19123,-0.25382,-0.28588,-0.35300,-0.17276,-0.52588,-0.25552,0.02356,-0.11099
-0.50624,-0.29678,0.12159,-0.11107,-0.40666,-0.25183,-0.30839,-0.34139,-0.36403,-0.51623,-0.31650,-0.17818,-0.17347
-0.51261,-0.35117,0.12435,-0.25375,-0.29094,-0.21922,-0.46639,-0.33031,-0.52878,-0.54831,-0.35168,-0.19667,-0.32568
-0.51724,-0.38032,0.12610,-0.33068,-0.33438,-0.24427,-0.49226,-0.26613,-0.54020,-0.57405,-0.35896,-0.21695,-0.44533
-0.52009,-0.28037,0.13953,-0.11915,-0.23060,-0.15949,-0.33145,-0.21895,-0.50955,-0.52385,-0.31118,-0.20138,-0.19808
-0.52116,-0.32448,0.15197,-0.10886,-0.26744,-0.14110,-0.44325,-0.25117,-0.54134,-0.55519,-0.32024,-0.26226,-0.35391
-0.52035,-0.22906,0.14099,-0.07942,-0.10970,-0.07366,-0.37871,-0.21357,-0.36165,-0.47442,-0.28352,-0.20607,-0.10987
-0.51764,-0.18954,0.15599,-0.02431,-0.05947,-0.03437,-0.26535,-0.18438,-0.34170,-0.48342,-0.29274,-0.17701,-0.03267
-0.51301,-0.17003,0.14433,-0.01522,-0.10361,-0.05657,-0.24047,-0.17691,-0.35709,-0.38797,-0.25714,-0.16123,0.05593
-0.50643,-0.01972,0.14859,0.07363,0.23028,0.04847,-0.08465,-0.07155,-0.18335,-0.21700,-0.15557,0.00575,0.15675
-0.49793,-0.01159,0.16658,0.03262,0.29482,0.05630,0.00316,-0.13279,-0.04746,-0.31024,-0.06536,-0.11154,0.16457
-0.48760,-0.00579,0.20661,0.11156,0.42846,0.01211,-0.04746,-0.17871,-0.08354,-0.29131,-0.17077,-0.01930,0.18108
-0.47557,-0.13776,0.11462,-0.10882,-0.20308,-0.03480,-0.16527,-0.21426,-0.10898,-0.30901,-0.23975,-0.08517,0.09158
-0.46190,-0.18474,0.08866,-0.07245,-0.23944,-0.13960,-0.21186,-0.18757,-0.16490,-0.37323,-0.22269,-0.06282,-0.17284
-0.44654,-0.05494,0.16075,0.17401,0.01162,-0.07522,-0.25071,-0.15481,0.16457,-0.26022,-0.20353,-0.01377,0.05870
-0.42969,-0.10140,0.14123,0.05681,0.10788,-0.04595,-0.31579,-0.20645,-0.05524,-0.21625,-0.24931,-0.10405,0.01437
-0.41180,-0.13917,0.12600,-0.03481,-0.11836,-0.04459,-0.37309,-0.18215,-0.07659,-0.22231,-0.27698,-0.11209,0.04925
-0.39285,-0.13336,0.12745,-0.00465,-0.17705,0.01692,-0.27141,-0.17520,-0.18033,-0.27139,-0.27084,-0.06509,0.06541
-0.37290,0.03082,0.14437,0.15680,0.24949,0.06988,-0.15444,-0.03075,0.06691,-0.05467,-0.21494,0.07310,0.14685
-0.35224,0.13950,0.20039,0.35504,0.44874,0.23287,0.00960,0.14400,0.20041,-0.18443,-0.14913,0.16553,0.17236
-0.33120,0.11923,0.25043,0.22269,0.68538,0.04116,0.01148,0.00631,0.20505,-0.24507,-0.11121,0.19338,0.18308
-0.31000,0.33953,0.30069,0.57531,0.89227,0.08269,0.02376,0.22255,0.53204,0.04675,0.06180,0.61020,0.34794
-0.28872,0.42984,0.25234,0.55763,0.86021,0.06933,0.14454,0.41283,0.55418,0.31180,0.23979,0.73647,0.41167
-0.26770,0.28193,0.25935,0.40446,0.58033,0.02874,0.04947,0.09698,0.51851,0.01074,0.20769,0.73473,0.18761
-0.24731,0.18646,0.26261,0.21439,0.55662,-0.02307,0.02304,-0.02425,0.40854,-0.06914,0.07922,0.65659,0.04264
-0.22782,0.01793,0.18099,0.04687,0.13626,0.02134,-0.04913,-0.11920,0.21642,-0.17803,-0.17512,0.37641,-0.09650
-0.20930,-0.08637,0.16714,-0.06125,-0.01598,-0.04810,-0.10375,-0.15488,0.10954,-0.29825,-0.25784,0.22523,-0.25842
-0.19205,-0.07850,0.15662,-0.07474,-0.03328,-0.02651,-0.08427,-0.15570,0.15995,-0.26641,-0.25435,0.17662,-0.22627
-0.17646,-0.06200,0.15177,-0.06977,0.08602,-0.02567,-0.11639,-0.09901,0.05729,-0.27212,-0.21251,0.22401,-0.19185
-0.16271,-0.02019,0.10426,-0.05862,0.11110,-0.00507,-0.05818,-0.06799,0.02576,-0.16669,-0.09372,0.18737,-0.07587
-0.15087,-0.02015,0.11950,-0.02787,0.08219,0.01518,-0.11392,-0.05658,-0.01205,-0.06124,-0.23813,0.21901,-0.00806
-0.14118,-0.05759,0.12759,-0.01944,0.00266,0.03024,-0.11942,-0.13575,-0.06417,-0.25153,-0.22778,0.15220,0.05712
-0.13387,0.08257,0.14773,0.03404,0.32353,0.13484,-0.04778,-0.02170,0.14981,-0.08764,-0.08913,0.27583,0.15391
-0.12904,0.06609,0.17357,0.02343,0.38945,0.14846,-0.01146,-0.00106,0.18696,-0.21309,-0.14308,0.13729,0.14401
-0.12673,-0.02266,0.13327,-0.05879,0.07991,0.03765,-0.06193,-0.11704,0.18515,-0.23670,-0.19024,0.05119,0.08416
-0.12698,-0.04517,0.12704,-0.05813,-0.01584,0.06033,-0.07619,-0.13795,0.17447,-0.28474,-0.14547,0.02924,0.00260
-0.12983,-0.11449,0.09286,-0.10568,-0.11879,-0.01509,-0.17447,-0.13498,0.03994,-0.27780,-0.19552,-0.03476,-0.12779
-0.13524,-0.17555,0.07601,-0.14226,-0.15880,-0.05358,-0.18657,-0.17765,-0.25978,-0.25393,-0.29185,-0.08687,-0.14417
-0.14316,-0.17230,0.07469,-0.16501,-0.08408,-0.05615,-0.15303,-0.18867,-0.21638,-0.22813,-0.31905,-0.13240,-0.18010
-0.15349,-0.08325,0.08376,-0.12830,-0.01097,-0.01721,-0.06714,-0.16556,0.00851,-0.14079,-0.21598,-0.12688,0.03182
-0.16607,-0.11951,0.08227,-0.15000,-0.01355,-0.02488,-0.15992,-0.18332,-0.07375,-0.21807,-0.21847,-0.14288,-0.01021
-0.18065,-0.07587,0.09988,-0.13030,0.12725,-0.01323,-0.06064,-0.17130,-0.08120,-0.14833,-0.19240,-0.11990,0.03137
-0.19699,-0.12027,0.07912,-0.12795,-0.04178,0.00351,-0.17336,-0.20014,-0.18523,-0.12688,-0.18961,-0.16248,0.00119
-0.21506,-0.14084,0.07234,-0.11783,-0.09629,-0.00574,-0.12020,-0.19899,-0.23210,-0.16475,-0.22363,-0.18027,-0.06863
-0.23433,-0.20741,0.09841,-0.14685,-0.19797,-0.07173,-0.18077,-0.21554,-0.44464,-0.21728,-0.26300,-0.19706,-0.13930
-0.25447,-0.27376,0.09870,-0.25158,-0.23634,-0.14389,-0.29921,-0.26673,-0.48619,-0.35971,-0.28641,-0.25739,-0.15014
-0.27541,-0.30549,0.08281,-0.21694,-0.26005,-0.23251,-0.40376,-0.29110,-0.47149,-0.36208,-0.30948,-0.23809,-0.26938
-0.29678,-0.24478,0.10935,-0.15744,-0.19889,-0.22153,-0.35695,-0.22660,-0.38380,-0.33521,-0.31418,-0.23656,-0.01664
-0.31805,-0.29005,0.09725,-0.11514,-0.19105,-0.33884,-0.38312,-0.27211,-0.40827,-0.36958,-0.33817,-0.29755,-0.18667
-0.33868,-0.32373,0.10132,-0.19746,-0.20034,-0.42878,-0.41665,-0.27675,-0.43716,-0.42984,-0.30191,-0.34431,-0.20406
-0.35838,-0.29983,0.09663,-0.16218,-0.19807,-0.36661,-0.33997,-0.28662,-0.40399,-0.39305,-0.28837,-0.39806,-0.16136
-0.37705,-0.22651,0.12548,-0.08175,-0.16919,-0.43044,-0.31588,-0.19829,-0.23873,-0.37087,-0.23695,-0.21032,-0.01265
-0.39412,-0.24279,0.11584,-0.07963,-0.20993,-0.41119,-0.35948,-0.21798,-0.29504,-0.31898,-0.24131,-0.25589,-0.03843
-0.40919,-0.31821,0.11802,-0.11125,-0.24530,-0.49760,-0.39064,-0.20000,-0.34283,-0.40097,-0.26638,-0.43957,-0.28752
-0.42225,-0.31743,0.11512,-0.10810,-0.28356,-0.48852,-0.41737,-0.22299,-0.34798,-0.41285,-0.26703,-0.39513,-0.23073
-0.43301,-0.32710,0.09862,-0.11688,-0.25618,-0.41646,-0.44413,-0.24639,-0.39798,-0.38461,-0.30434,-0.34879,-0.35521
-0.44105,-0.44319,0.10992,-0.20755,-0.36156,-0.39208,-0.45606,-0.46556,-0.52524,-0.52157,-0.39958,-0.50087,-0.60186
-0.44622,-0.20524,0.08049,-0.07183,-0.18143,-0.18798,-0.31350,-0.18788,-0.13488,-0.35043,-0.18186,-0.20506,-0.23759
-0.44855,-0.22147,0.11188,-0.06413,-0.12953,-0.09699,-0.31899,-0.18553,-0.25073,-0.43489,-0.19930,-0.23525,-0.29938
-0.44795,-0.11089,0.08244,-0.02817,0.00950,-0.00867,-0.15570,-0.15323,-0.15226,-0.25912,-0.12691,-0.14515,-0.08917
-0.44439,-0.16683,0.09814,-0.04116,-0.00084,-0.10426,-0.29825,-0.21316,-0.25461,-0.27014,-0.15111,-0.19364,-0.14115
-0.43796,-0.22763,0.11106,-0.10860,-0.06960,-0.23267,-0.35873,-0.24250,-0.27540,-0.43766,-0.16747,-0.22236,-0.16130
-0.30892,-0.32986,0.12121,-0.17770,-0.18878,-0.32149,-0.38902,-0.27993,-0.40376,-0.42968,-0.23800,-0.29898,-0.57131
