cte_true,mc_mean,mc_std
0.50238,1.86773,0.31685
0.51870,2.41740,0.44188
0.51212,3.14215,0.39376
0.48292,2.03851,0.29025
0.43221,1.78856,0.40355
0.36171,1.34592,0.41711
0.27299,3.00569,0.63275
0.16919,1.94764,0.74343
0.05326,1.82721,0.44802
-0.07261,2.13413,0.91218
-0.20511,1.42000,0.41059
-0.33957,0.28592,0.17411
-0.47236,-0.23711,0.15246
-0.60095,-0.61679,0.21418
-0.72148,-0.27027,0.38553
-0.82908,-0.93297,0.18417
-0.92056,-0.96168,0.18669
-0.99473,-1.02573,0.16662
-1.04915,-0.99612,0.20431
-1.08076,-0.81440,0.40867
-1.08926,-0.12076,0.66952
-1.07461,-0.05242,0.77906
-1.03701,1.00889,0.89433
-0.97813,-0.99333,0.29930
-0.90000,-1.10976,0.16050
-0.80393,-1.19342,0.21727
-0.69366,-1.11950,0.23713
-0.57281,-0.94376,0.24990
-0.44297,-0.52547,0.22050
-0.30734,-0.31065,0.21790
-0.06642,0.01789,0.36769
-0.00782,0.65715,0.54820
0.03886,0.05339,0.13136
0.07564,0.09519,0.10004
0.10119,0.21542,0.12797
0.19384,0.22027,0.18045
0.11911,0.24945,0.15353
0.02812,-0.10283,0.13164
-0.07330,-0.16158,0.10224
-0.18109,-0.60469,0.28010
-0.22994,-0.97095,0.18448
-0.41553,-1.40633,0.31103
-0.59957,-1.33516,0.31024
-0.77459,-1.15109,0.20407
-0.93501,-1.47527,0.34767
-0.99413,-2.69398,0.63106
-1.18478,-1.81604,0.59555
-1.34861,-1.89782,0.37524
-1.48072,-2.28537,0.70654
-1.57843,-2.93064,0.52093
-1.52852,-3.15221,0.78252
-1.63758,-2.83492,0.59775
-1.71613,-2.58295,0.50175
-1.76385,-3.98381,0.94092
-1.78061,-4.07654,1.01465
-1.76643,-3.24694,0.60615
-1.64871,-2.47514,0.53868
-1.64722,-1.58851,0.31709
-1.61508,-1.81436,0.40789
-1.55254,-1.32958,0.26102
-1.46005,-1.52168,0.27421
-1.23517,-1.36495,0.30663
-1.15865,-1.55187,0.27590
-1.05955,-1.38724,0.25989
-0.93904,-1.25873,0.23552
-0.80093,-1.36986,0.27677
-0.64923,-0.82789,0.17079
-0.48948,-0.40608,0.16939
-0.32573,0.05303,0.11388
-0.16243,0.11247,0.13314
-0.00274,0.25416,0.15683
0.14646,0.53187,0.16133
0.28095,0.76928,0.20789
0.39800,0.88158,0.19427
0.49195,0.85078,0.22062
0.56045,0.80266,0.15530
0.54981,1.00625,0.21016
0.60156,1.03264,0.22388
0.62775,0.91455,0.18855
0.62512,0.76118,0.22173
0.59439,0.37375,0.18358
0.49242,0.66010,0.18345
0.44691,0.78460,0.18265
0.38147,0.27208,0.26162
0.29670,0.07305,0.23166
0.19356,-0.30693,0.18819
0.03885,-0.19035,0.15229
-0.05081,-0.00367,0.10201
-0.14614,0.06397,0.15251
-0.24702,0.53551,0.20334
-0.34862,1.06933,0.24821
-0.47340,1.02034,0.24412
-0.52921,1.83893,0.38379
-0.57749,1.03199,0.49934
-0.61686,-0.14476,0.40001
-0.68945,0.80293,0.15238
-0.66869,0.79604,0.16168
-0.63440,0.27041,0.27463
-0.58954,-0.26581,0.36511
-0.53579,1.38800,0.37080
-0.49723,0.02005,0.18238
-0.39127,0.11755,0.24549
-0.28238,0.03380,0.13959
-0.17466,0.60106,0.25914
-0.11722,0.64982,0.26000
0.01760,0.39055,0.19689
0.14489,0.86111,0.32175
0.25629,0.40811,0.35560
0.35054,0.71874,0.50741
0.39042,0.97633,0.51657
0.47884,0.42840,0.23646
0.54175,0.71154,0.12512
0.57773,1.16956,0.26519
0.58521,1.50257,0.30885
0.54366,1.97486,0.30998
0.53365,1.74300,0.31394
0.49784,1.42852,0.19799
0.43641,1.51559,0.21013
0.30743,-0.18155,0.24400
0.24063,-0.59217,0.16772
0.15780,-0.24787,0.17978
0.06024,0.03441,0.13304
-0.04767,0.63958,0.15524
-0.19387,0.93034,0.26994
-0.27641,1.01214,0.30412
-0.35945,0.51206,0.29197
-0.43960,-0.08422,0.12654
-0.51459,0.12085,0.08453
-0.59414,0.16155,0.19549
-0.61513,0.50761,0.57053
-0.62424,1.52149,0.54315
-0.62236,0.93751,0.80136
-0.63351,1.82434,0.49427
-0.57087,0.49418,0.72696
-0.49856,1.91339,0.43593
-0.41994,1.78230,0.31050
-0.37579,2.48857,0.40712
-0.25125,1.94670,0.30041
-0.12804,2.10223,0.42319
-0.01112,2.27007,0.42209
0.09772,1.29455,0.26678
0.17223,1.86093,0.34937
0.29062,1.33721,0.18239
0.39091,1.94697,0.42182
0.46837,1.36385,0.19641
0.51908,1.11093,0.21952
0.54146,1.03042,0.16231
0.53538,0.73162,0.13421
0.50110,0.04511,0.10475
0.44014,0.10362,0.14010
0.35441,-0.00178,0.10068
0.24678,-0.08492,0.20772
0.12167,0.07593,0.10029
-0.01781,0.27054,0.24241
-0.16830,0.03987,0.24129
-0.32546,-0.55750,0.18348
-0.48206,-0.76279,0.17652
-0.63253,-0.77264,0.18934
-0.77438,-0.95270,0.22516
-0.90286,-1.00754,0.13933
-1.01051,-1.19280,0.28271
-1.09314,-1.10841,0.21575
-1.14972,-0.98505,0.15430
-1.17723,-1.05363,0.17903
-1.17444,-1.19505,0.21024
-1.14220,-1.27372,0.21883
-1.08151,-1.23550,0.25235
-0.99521,-1.29324,0.25530
-0.76421,-1.11249,0.27612
-0.75173,-0.51947,0.22664
-0.72769,-0.41426,0.14755
-0.69014,-0.01251,0.07786
-0.63932,-0.08089,0.08793
-0.47373,-0.19017,0.14233
-0.51970,-0.67314,0.15194
-0.56207,-1.00069,0.17978
-0.59654,-0.93960,0.14327
-0.62062,-1.15751,0.25123
-0.56196,-1.42217,0.27442
-0.68276,-1.58950,0.29746
-0.79390,-1.84843,0.45127
-0.89002,-0.96585,0.16499
-0.96740,-1.06341,0.21198
-0.95388,-1.06844,0.15942
-1.09951,-1.14910,0.20927
-1.21993,-1.17227,0.24784
-1.30948,-1.37237,0.25776
-1.36438,-1.86137,0.28406
-1.29072,-1.74276,0.24335
-1.39149,-1.75397,0.26778
-1.46078,-1.64360,0.31705
-1.49485,-1.76536,0.26998
-1.49499,-1.39852,0.31561
-1.33108,-1.51138,0.22967
-1.38059,-1.39912,0.30711
-1.39722,-1.15825,0.26021
-1.38016,-1.15030,0.18359
-1.33008,-1.02526,0.20314
-1.08060,-1.36242,0.30042
-1.08843,-1.50246,0.28261
-1.07598,-2.03026,0.28926
-1.03862,-1.74904,0.44363
-0.97799,-1.79042,0.33241
-0.89641,-1.09414,0.35665
-0.72654,-1.32973,0.39800
-0.72436,-0.88448,0.21466
-0.71193,-0.89467,0.23802
-0.68665,-1.30959,0.32216
-0.64883,-1.63621,0.29852
-0.54217,-1.56313,0.34585
-0.60110,-1.24199,0.51273
-0.65233,-1.05557,0.40830
-0.69155,-0.68350,0.13209
-0.71809,-0.68041,0.13461
-0.73078,-0.50390,0.20823
-0.72873,-0.57345,0.16581
-0.71224,-0.93571,0.27981
-0.68174,-1.88140,0.69602
-0.63815,-4.68098,1.04641
-0.58363,-3.85946,0.99420
-0.52001,-3.29574,0.89403
-0.44935,-1.60049,0.41237
-0.37275,-1.86697,0.38891
-0.29413,-2.67392,0.61026
-0.21614,-2.17238,0.53440
-0.13985,-1.37929,0.35745
-0.06807,-1.20546,0.39620
-0.00490,-0.04419,0.14114
0.04764,-0.41771,0.52550
0.08891,0.36387,0.17595
0.11712,0.45590,0.17404
0.13045,0.51678,0.13595
0.12870,0.13307,0.12317
0.11210,-0.07162,0.14248
0.08106,-0.79566,0.20062
0.03711,-1.22377,0.27578
-0.01819,-1.15273,0.31852
-0.08391,-4.22379,0.88641
-0.15785,-3.63416,0.70848
-0.23619,-4.22057,0.84719
-0.31635,-3.68027,0.85254
-0.39713,-4.28481,1.06140
-0.47563,-0.35766,2.53856
-0.54740,-4.33209,1.21189
-0.61003,-2.34669,1.45381
-0.66261,-2.05014,0.73219
-0.70189,-0.65224,0.56388
-0.72653,-0.96651,0.20166
-0.73634,-0.81012,0.20745
-0.73072,-0.77745,0.15949
-0.70975,-0.73691,0.13771
-0.67397,-0.79049,0.15115
-0.62453,-0.63860,0.16735
-0.56309,-0.51974,0.13765
-0.49280,-0.25626,0.15387
-0.41603,-0.11259,0.11887
-0.33402,-0.06011,0.11889
-0.24962,-0.14353,0.14830
-0.14718,-0.05784,0.11921
-0.15964,0.01022,0.10003
-0.17876,-0.05807,0.11620
-0.20254,-0.13954,0.12129
-0.17642,-0.18975,0.10980
-0.29580,-0.36639,0.13057
-0.41899,-0.41836,0.11765
-0.53981,-0.72021,0.14306
-0.54759,-0.92317,0.13218
-0.73502,-1.07949,0.23978
-0.91261,-1.12018,0.21574
-1.07070,-1.08732,0.20986
-1.20103,-1.29291,0.26752
-1.19870,-1.37906,0.32570
-1.34853,-1.49144,0.28200
-1.46680,-1.49006,0.29617
-1.54605,-1.47705,0.29923
-1.58907,-1.45661,0.27419
-1.49275,-1.66663,0.30931
-1.55216,-1.56527,0.32488
-1.57639,-1.60129,0.30457
-1.56556,-1.41288,0.18257
-1.51996,-1.38296,0.22887
-1.33093,-1.38644,0.28335
-1.30318,-1.32668,0.27062
-1.24245,-1.19035,0.23712
-1.15025,-0.89111,0.18503
-1.03099,-0.67584,0.17306
-0.77648,-0.55274,0.23718
-0.70149,-0.31876,0.18470
-0.61590,-0.33859,0.19785
-0.51981,-0.26868,0.18443
-0.41650,-0.32556,0.21329
-0.21579,-0.17273,0.14645
-0.19094,-0.36195,0.20860
-0.17253,-0.24504,0.14729
-0.15923,-0.00249,0.13421
-0.15053,-0.08164,0.10487
-0.14679,0.24213,0.14353
-0.14839,0.40774,0.23992
-0.15531,0.57005,0.20611
-0.16740,0.48099,0.21096
-0.18437,0.69293,0.23416
-0.20550,0.35494,0.18129
-0.22999,0.29334,0.25370
-0.25738,0.04713,0.15981
-0.28652,-0.20135,0.15527
-0.31622,-0.18498,0.14527
-0.34521,-0.04128,0.11169
-0.37255,0.19546,0.15478
-0.39754,-0.25837,0.21139
-0.41894,-0.40721,0.17200
-0.43604,-0.26091,0.17497
-0.44840,-0.08865,0.12886
-0.45549,-0.09362,0.16037
-0.45693,-0.39706,0.16799
-0.45274,-0.26101,0.10534
-0.44301,0.01459,0.11816
-0.42805,-0.07984,0.15978
-0.40852,-0.13693,0.11115
-0.38510,-0.10450,0.13445
-0.35838,0.61654,0.20678
-0.32914,0.81017,0.19843
-0.29889,1.41489,0.23116
-0.26873,1.09654,0.22042
-0.23916,0.48644,0.25786
-0.21154,0.33233,0.16450
-0.18728,0.34417,0.20620
-0.16717,0.66898,0.21411
-0.15158,1.20903,0.30390
-0.14120,0.88340,0.15337
-0.13674,1.10543,0.24903
-0.13832,0.65214,0.23308
-0.14588,1.10792,0.21387
-0.15926,1.46835,0.28626
-0.17780,1.36438,0.35872
-0.20082,2.16082,0.42794
-0.22792,0.81043,0.34557
-0.25813,0.82218,0.24958
-0.28983,0.55885,0.22259
-0.32187,0.58320,0.20734
-0.34181,0.38009,0.22256
-0.39648,0.13577,0.22257
-0.44853,-0.11965,0.14102
-0.49485,-0.22379,0.17602
-0.53463,-0.19844,0.14401
-0.56621,-0.50118,0.15837
-0.58813,-0.53076,0.10055
-0.59899,-0.33272,0.13452
-0.59849,-0.02657,0.14739
-0.58675,0.49250,0.44078
-0.56400,-0.12821,0.34831
-0.53139,1.06462,0.66751
-0.49016,1.29992,0.57536
-0.44105,2.52695,0.40443
-0.38671,1.65008,0.45172
-0.32917,2.06147,0.42210
-0.26946,2.14603,0.43989
-0.20981,1.92924,0.42524
-0.15367,1.41291,0.33788
-0.10212,0.72309,0.24205
-0.05719,0.33052,0.19832
-0.02127,-0.11535,0.30645
0.00375,-0.18018,0.18873
0.01757,0.10536,0.17741
0.01947,0.20672,0.19309
0.00908,0.29672,0.23177
-0.01311,0.11347,0.11282
-0.04661,0.14524,0.16008
-0.09030,0.10368,0.13318
-0.14228,-0.01477,0.12994
-0.20009,0.01183,0.10080
-0.26272,0.07677,0.17869
-0.32791,-0.00920,0.18288
-0.39262,-0.17023,0.20791
-0.45429,-0.43691,0.17285
-0.51107,-0.37858,0.17149
-0.56069,-0.44612,0.31665
-0.60095,-0.46681,0.17356
-0.62975,-0.66009,0.21671
-0.64586,-0.72691,0.20627
-0.64877,-0.31146,0.66946
-0.63820,-0.46571,0.19816
-0.61445,0.09768,0.21141
-0.57839,0.42782,0.24510
-0.53135,-1.11368,0.26533
-0.47928,-0.51372,0.13594
-0.33503,-0.66708,0.14801
-0.38286,-0.24058,0.14368
-0.43861,0.02717,0.18111
-0.42844,-0.08467,0.22151
-0.34724,0.20438,0.56996
-0.26992,0.01817,0.14996
-0.18976,0.12133,0.16970
-0.11192,0.37515,0.19932
-0.04049,0.89725,0.29813
0.02131,1.16906,0.21149
0.07154,1.61233,0.21055
0.10802,0.72944,0.19042
0.12897,0.40461,0.16947
0.13319,0.37679,0.26749
0.12048,0.42663,0.15841
0.09121,0.30626,0.17185
0.04656,0.36741,0.16802
-0.01175,0.15357,0.17435
-0.08157,0.12859,0.10913
-0.16087,0.37084,0.23909
-0.24686,0.12327,0.12223
-0.33565,-0.17176,0.13784
-0.42379,-0.56256,0.23632
-0.50869,-0.65818,0.14640
-0.58703,-0.71752,0.15260
-0.65470,-0.70860,0.17163
-0.70880,-0.69634,0.16387
-0.74764,-0.82274,0.15973
-0.76945,-0.77726,0.14085
-0.77285,-0.73036,0.12831
-0.75768,-0.79040,0.15525
-0.72456,-0.71010,0.13396
-0.67427,-0.47586,0.13361
-0.60905,-0.59637,0.14460
-0.53162,-0.31778,0.17522
-0.44366,-0.35455,0.19325
-0.34789,-0.27758,0.14162
-0.24926,-0.26921,0.15103
-0.15194,-0.26008,0.17210
-0.05803,-0.17828,0.10616
0.02771,0.06595,0.11856
0.10005,-0.05352,0.12356
0.15740,0.12255,0.13032
0.19716,0.32193,0.16158
0.21711,0.52670,0.18384
0.21676,0.52519,0.10691
0.19630,0.27038,0.15225
0.15643,0.12704,0.11649
0.11954,-0.11706,0.12717
-0.07870,-0.33561,0.11245
-0.28821,-0.45458,0.18931
-0.49961,-0.51295,0.25301
-0.59772,-0.76727,0.22741
-0.90245,-0.99021,0.23932
-1.19219,-1.22599,0.19654
-1.45256,-1.29181,0.24903
-1.67253,-1.76867,0.32688
-1.66482,-1.91585,0.18028
-1.92461,-2.04570,0.19735
-2.15118,-2.25031,0.27045
-2.34340,-2.36187,0.37054
-2.50034,-2.66057,0.22863
-2.62133,-2.70305,0.35816
-2.51546,-2.57259,0.44675
-2.68521,-2.75440,0.41903
