N,p_offroad
5,0.00029931819645407547
10,0.0005985465669949928
15,0.0008976855964322156
20,0.0011967342398523399
25,0.0014956940999529013
30,0.0017945646820916965
35,0.0020933449364262348
40,0.00239203567805878
45,0.0026906369975337567
50,0.0029891489738148565
